BUYSUBSIDIARYPAY,NIPLEDGELOAN,DISPOSALINVREC,INVFLOWOUTOTHER,ISSUEBONDREC,OPERATEFLOWOUTBALANCE,OPERATEFLOWINOTHER,NIBUYBACKFUND,NDLOANADVANCES,GETSUBSIDIARYPAY,OPERATEFLOWBALANCE,BUYGOODSSERVICEPAY,SUBSIDIARYACCEPT,SUMOPERATEFLOWIN,EMPLOYEEPAY,INVFLOWOTHER,NETINVCASHFLOW,NIDEPOSITINCBANKFI,DISPSUBSIDIARYREC,EFFECTEXCHANGERATE,CASHEQUIENDING,FINAFLOWBALANCE,SUMINVFLOWIN,FINAFLOWOUTBALANCE,INTANDCOMMPAY,CASHEQUIENDINGBALANCE,INVINCOMEREC,REDUCEPLEDGETDEPOSIT,NIINSUREDDEPOSITINV,SALEGOODSSERVICEREC,TAXRETURNREC,SUMOPERATEFLOWOUT,OTHEROPERATEREC,NETRIREC,SUMINVFLOWOUT,NETOPERATECASHFLOW,SUBSIDIARYREDUCTCAPITAL,STARTDATE,LATESTNOTICEDATE,OPERATEFLOWINBALANCE,INTANDCOMMREC,NILOANADVANCES,NICASHEQUI,NIBORROWFROMFI,PREMIUMREC,NICASHEQUIBALANCE,SUMFINAFLOWOUT,INVPAY,CASHEQUIENDINGOTHER,ISLISTINGREPORT,REPORTDATE,GROUPID,OTHERFINAREC,FINAFLOWINBALANCE,FINAFLOWINOTHER,OPERATEFLOWOUTOTHER,NIBORROWFROMCBANK,ENDDATE,NICASHEQUIOTHER,INVFLOWOUTBALANCE,OTHERFINAPAY,ACCEPTINVREC,FIRSTNOTICEDATE,REPAYDEBTPAY,SUMFINAFLOWIN,DISPFILASSETREC,INVFLOWINBALANCE,OPERATEFLOWOTHER,NIDEPOSIT,NETFINACASHFLOW,DIVIPAY,NIBORROWFUND,OTHEROPERATEPAY,CASHEQUIBEGINNING,FINAFLOWOUTOTHER,NIDISPTRADEFASSET,INVFLOWBALANCE,BUYFILASSETPAY,LOANREC,SUBSIDIARYPAY,ADDPLEDGETDEPOSIT,FINAFLOWOTHER,INDEMNITYPAY,OTHERINVREC,TAXPAY,DIVIPROFITORINTPAY,OTHERINVPAY,INVFLOWINOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE
,,2180000,,,0,,,,,0,647797508.8,45060.07,841533671.2,87048422.56,,-7910846.9,,,-637294.83,127792916.4,0,2180000,0,,0,,,,725820505.4,16393802.86,868667185,99319362.97,,10090846.9,-27133513.82,,2019-1-1,2021-3-9,0,,,95987421.15,,,0,1006066854,,,1,2019-12-31,,722690870.6,0,,,,2020-12-31,,0,596870222.2,45060.07,2020-3-3,395802100,1137735931,,0,,,131669076.7,,,121458636.4,31805495.2,,,0,10082428.58,415000000,,,,,,12362617.26,13394531.73,8418.32,,CNY,10002413,合并,年度报告,年度报告
,,840000000,,,0,,,,,0,182317561.4,,1499690416,51898902.27,,-223497006,,,4488861.74,477398303.1,0,848414050.9,0,,0,8396722.61,,,1482478648,,1010097928,17211768.32,,1071911057,489592488.8,,2019-1-1,2021-3-12,0,,,118064309.7,,,0,152520034.8,1020000000,,1,2019-12-31,,,,,,,2020-12-31,,0,85005429.97,,2020-3-13,,,17328.26,0,,,-152520034.8,,,617189477.5,359333993.4,,,0,48996660.63,,,,,,,158691986.3,67514604.86,2914396.23,,CNY,10002421,合并,年度报告,年度报告
,,,,,0,,,,0,0,683025440.1,,1698776148,92336616.67,,-133532837.1,,,,186918652.8,0,814630583.8,0,,0,4594088.21,,,1611798211,,1202666804,86977937.68,,948163420.9,496109344.5,,2019-1-1,2020-3-12,0,,,-524163664.8,,,0,1521740172,14700000,,1,2019-12-31,,20000000,0,,,,2019-12-31,,0,64039156,,2020-3-12,1372500000,635000000,35295.6,0,,,-886740172.2,,,247612030.3,711082317.6,,,0,1462220.92,615000000,0,,,,810001200,179692716.8,85201016.17,932001200,,CNY,10005767,合并,年度报告,年度报告
,,650000000,,,0,,,,,0,463172561.2,,1729074041,472786253.4,,-187294694.8,,,,925999177.2,0,663181799.2,0,,0,13074436.47,,,1651167232,4218204.43,1485532543,73688604.79,,850476494,243541497.4,,2019-1-1,2021-3-27,0,,,-78466344.76,,,0,154713147.3,676000000,,1,2019-12-31,,,0,,,,2020-12-31,,0,,,2020-3-7,20000000,20000000,107362.7,0,,,-134713147.3,,,410439859.5,1004465522,,,0,172476494,20000000,63093614.07,,,,,139133869.3,134713147.3,2000000,,CNY,10005782,合并,年度报告,年度报告
,,5509139367,,,0,,924952628.5,,2929335125,0,96303586476,549000000,1.21863E+11,5015829325,,-7153462630,-149654885.6,,41882282.36,5799267572,0,5671789949,0,48437910.77,0,123921773.1,,,1.19811E+11,683615274.6,1.11093E+11,999496273.5,,12825252580,10770601212,,2019-1-1,2020-3-19,0,193265169.5,1222800000,-1709279519,,,0,35491545408,6366174477,,1,2019-12-31,,6040526164,0,,,,2019-12-31,,0,6665110567,549000000,2020-3-19,25369608246,30123245025,8728809.74,0,,-1526984611,-5368300383,,777400000,3506954367,7508547091,,,0,3494742978,23533718860,2399216331,,,,30000000,5144686217,3456826594,35000000,,CNY,10005798,合并,年度报告,年度报告
,,770000000,,,0,,,,,0,884661637,,8045307534,847995446.5,,-444455589.4,,,,2284815189,0,782983475.3,0,,0,12306009.62,,,7850482391,,5897631422,194825143.2,,1227439065,2147676112,,2019-1-1,2020-3-13,0,,,697913904.4,,,0,1005306618,681000000,,1,2019-12-31,,,,,,,2019-12-31,,0,,,2020-3-13,538.56,,677465.72,0,,,-1005306618,,,3075355785,1586901285,,,0,546439064.8,,,,,,,1089618554,1005306080,,,CNY,10002632,合并,年度报告,年度报告
,,2217697556,,,0,,,,,0,30540128297,,35738071168,3587602617,,1686056676,,26798478.28,-33054629.98,6223846116,0,5435350707,0,,0,94314914.58,,,33621578833,563900329.1,35511686285,1552592006,,3749294032,226384882.8,,2019-1-1,2021-3-30,0,,,41911090.38,,,0,8869291187,3158369914,,1,2019-12-31,,529615348.7,0,,,,2020-12-31,,0,1695810591,,2020-3-19,6657652461,7031815349,181496912.4,0,,,-1837475838,,,393148128.8,6181935025,,,0,220704064.8,6502200000,5238611.74,,,,2915042846,990807241.9,515828135,370220052.9,,CNY,10002574,合并,年度报告,年度报告
,,4466000000,,,0,,,,171747146.6,0,3106807255,,5632379801,105012542.7,,-800308347.9,,,,2778511351,0,4485707522,0,,0,19699329.43,,,5322343593,,4164056097,310036208.2,,5286015870,1468323703,,2019-1-1,2021-3-25,0,,,466389448.8,,,0,2280711994,4896000000,,1,2019-12-31,,944901999.2,0,,,,2020-12-31,,0,685908068.7,207870562,2020-3-11,1064530349,2079086087,8192.35,0,,,-201625906.7,,,242529053.5,2312121902,,,0,218268723.1,926313526,,,,,,709707246.6,530273576.5,,,CNY,10002661,合并,年度报告,年度报告
,,1853000000,,,0,,,,6200854.87,0,36320559.42,,442542747.4,27551317.57,,-220738961.7,,87879047.22,,275088719.7,0,1949862655,0,,0,8957334.09,,,119213965.9,,185006057.6,323328781.5,,2170601617,257536689.7,,2019-1-1,2021-2-27,0,,,-207358436.8,,,0,428156164.9,2161510000,,1,2019-12-31,,184000000,0,,,,2020-12-31,,0,,,2020-2-29,392000000,184000000,26274,0,,,-244156164.9,,,59856276.64,482447156.5,,,0,2890762.13,,,,,,,61277904.01,36156164.89,,,CNY,10002663,合并,年度报告,年度报告
,,,,,0,,,,,0,5219695304,12500000,6581654980,589348309.4,,10731802.28,,,-1314985.54,580261115.1,0,289185981.6,0,,0,,,,6397850600,90127308.92,6439750802,93677070.36,,278454179.4,141904177.4,,2019-1-1,2021-3-27,0,,,-37598049.12,,,0,1689060135,153199000,,1,2019-12-31,,228421803.8,0,,,,2020-12-31,,0,28532723.9,18693408.48,2020-3-10,1423507493,1500141092,253185981.6,0,,,-188919043.2,,,284581043.8,617859164.3,,,0,112539580.1,1253025880,1878561.22,,,,36000000,346126145.2,237019918.3,12715599.28,,CNY,10007168,合并,年度报告,年度报告
