NDBORROWFUND,SUMINVFLOWIN,ENDDATE,OTHERINVREC,COMMPAY,NICLIENTDEPOSIT,NDBUYSELLBACKFASSET,CANCELLOANREC,NILENDFUND,NIACCOUNTREC,REMARK,OTHEROPERATEPAY,DISPMASSETREC,FINAFLOWOUTOTHER,ISSUEOTHERBONDREC,FINAFLOWOUTBALANCE,INVFLOWOUTOTHER,DISPFILASSETREC,NDLENDFUND,DIVIORPROFITREC,NDLENDBUYSELLBACK,ISSUECD,NISELLBUYBACKFASSET,GETSUBSIDIARYPAY,OTHEROPERATEREC,NDBORROWFROMCBANK,SUMOPERATEFLOWIN,OPERATEFLOWOUTBALANCE,BONDINTPAY,ISSUEJUNIORBONDREC,NIBORROWFUND,BUYFINALEASEASSETPAY,OPERATEFLOWINBALANCE,NIDEPOSITINCBANK,INVFLOWINBALANCE,NETFINACASHFLOW,NIDEPOSITINCBANKFI,CASHEQUIBEGINNING,FIRSTNOTICEDATE,CASHEQUIENDINGBALANCE,INVFLOWBALANCE,NDDEPOSITINFI,INTPAY,TAXPAY,ISLISTINGREPORT,NDFIDEPOSIT,INTREC,REPORTDATE,FINAFLOWINOTHER,NITRADEFASSET,SUMOPERATEFLOWOUT,INTANDCOMMREC,ADDSHARECAPITALREC,FINAFLOWOTHER,DISPOSALINVREC,NDTRADEFASSET,NETCD,OTHERFINAREC,NDTRADEFLIAB,INVINCOMEREC,GROUPID,NILOANADVANCES,FINAFLOWINBALANCE,NETOPERATECASHFLOW,SUMFINAFLOWIN,NIDEPOSITINFI,NICASHEQUIBALANCE,NIFIDEPOSIT,COMMREC,DIVIPROFITORINTPAY,INVFLOWOTHER,ISSUESHAREREC,OPERATEFLOWBALANCE,NDSELLBUYBACKFASSET,CASHEQUIENDINGOTHER,NDISSUECD,SUMINVFLOWOUT,OPERATEFLOWOTHER,OPERATEFLOWOUTOTHER,NICASHEQUIOTHER,FINAFLOWBALANCE,INVPAY,LATESTNOTICEDATE,SUBSIDIARYACCEPT,REPAYDEBTPAY,ACCEPTINVREC,NIDEPOSIT,CASHEQUIENDING,NICASHEQUI,NIBUYSELLBACKFASSET,OTHERINVPAY,NDBORROWSELLBUYBACK,NILENDSELLBUYBACK,NDDEPOSITINCBANKFI,NITRADEFLIAB,INTANDCOMMPAY,OPERATEFLOWINOTHER,INVFLOWOUTBALANCE,NDDEPOSITINCBANK,INVFLOWINOTHER,BUYFILASSETPAY,SUMFINAFLOWOUT,NIBORROWSELLBUYBACK,DISPSUBSIDIARYREC,EFFECTEXCHANGERATE,OTHERFINAPAY,ISSUEBONDREC,NIBORROWFROMCBANK,EMPLOYEEPAY,STARTDATE,NETINVCASHFLOW,CURRENCY,COMBINETYPE,REPORTSOURCETYPE,REPORTTIMETYPE,COMPANYCODE
41161000000,1.3161E+12,2019-12-31,,,,,,,,,22150000000,,,,0,,501000000,4997000000,,4997000000,,12058000000,3000000,10280000000,1.03051E+11,8.43854E+11,0,,,,,0,,0,1.57688E+11,,1.38026E+11,2020-3-31,0,0,,,18826000000,1,,,2019-12-31,59968000000,72461000000,9.28781E+11,2.49871E+11,,,1.23401E+12,,,,,81593000000,,4.86081E+11,0,-84927000000,9.95401E+11,,0,,,28502000000,,,0,,,,1.38319E+12,,,,0,1.37497E+12,2020-3-31,,8.05232E+11,,5.50667E+11,1.4465E+11,6624000000,26755000000,,41161000000,26755000000,15981000000,,1.30078E+11,,0,,,8218000000,8.37713E+11,12058000000,,954000000,3979000000,9.35433E+11,,28218000000,2019-1-1,-67091000000,CNY,合并,年度报告,年度报告,10002264
,8.57293E+11,2020-12-31,,,4.43748E+11,,,,,,15129000000,,4.03965E+11,,0,,5063000000,,,35458000000,27631000000,,46000000,16067000000,43625000000,9.03126E+11,0,,,,,0,36397000000,0,1.1045E+11,65938000000,5.43683E+11,2020-3-21,0,0,,,50865000000,1,,,2019-12-31,4.57889E+11,9819000000,8.98694E+11,3.23177E+11,,,8.0297E+11,,,6509000000,,49221000000,,5.09737E+11,0,4432000000,5.62636E+11,29541000000,0,84676000000,,25673000000,,,0,52493000000,,,9.27864E+11,,,,0,9.03854E+11,2021-3-20,,,,5.28424E+11,5.89675E+11,45992000000,,,52493000000,,,,1.08812E+11,,0,,,23964000000,4.52186E+11,,39000000,1681000000,185000000,70607000000,,42276000000,2019-1-1,-70571000000,CNY,合并,年度报告,年度报告,10002271
23227000000,1.94162E+12,2020-12-31,,,4.17812E+11,788000000,,18513000000,,,96926000000,,3011000000,,0,,399000000,,,788000000,,,,11036000000,44840000000,9.99387E+11,0,,,,,0,,0,1.00579E+11,70522000000,3.76009E+11,2020-3-27,0,0,,,25380000000,1,,,2019-12-31,39993000000,,8.82418E+11,3.25336E+11,,,1.94053E+12,29279000000,,,243000000,373000000,,4.40025E+11,0,1.16969E+11,6.26263E+11,70522000000,0,1.70271E+11,,35881000000,,,0,8467000000,,,2.19469E+12,,,,0,2.19063E+12,2021-3-26,,4.86792E+11,,5.88083E+11,3.42449E+11,-33560000000,,,31694000000,18513000000,44865000000,,1.25832E+11,,0,44865000000,321000000,4056000000,5.25684E+11,,,1956000000,,5.8627E+11,,28443000000,2019-1-1,-2.53064E+11,CNY,合并,年度报告,年度报告,10008350
,5526237645,2019-12-31,1359730721,,,,,,,,1008785049,,,,0,,2900,,,,,130113000,,10010749.49,,1554180272,0,,,,,0,,0,192457243.1,,1192528393,2020-4-28,0,0,,,244286848.8,1,,,2019-12-31,,-239436107,2956138499,1414056523,,,3911643332,,,2200000000,,254860692,,1580000000,0,-1401958227,2200000000,,0,,,157542756.9,,,0,,,,4682211219,,,,0,4677434359,2020-4-28,,,,,827053835.3,-365474557.8,,,,,,,1106099.62,,0,,,4776860.23,2007542757,130113000,,,1850000000,,,361396608.5,2019-1-1,844026426.1,CNY,合并,年度报告,年度报告,10005509
8843282000,1.17095E+12,2019-12-31,1586000,,,,,,,,5049013000,,,,0,,,,,,,,,3570673000,,1.72027E+11,0,,,,,0,,0,-19898811000,,26941950000,2020-4-30,0,0,,,4596752000,1,,,2019-12-31,,,1.43872E+11,65697567000,,,1.1673E+12,,,,,3648762000,,93006130000,0,28154431000,1.76322E+11,,0,,,6900560000,,,0,,,,1.17015E+12,,,,0,1.1696E+12,2020-4-30,,1.8932E+11,,64463858000,36108572000,9166622000,,,8843282000,,8368506000,,27029734000,,0,,,558257000,1.96221E+11,,,119160000,,1.76322E+11,29926050000,5347312000,2019-1-1,791842000,CNY,合并,年度报告,年度报告,10009846
,5.53958E+11,2019-12-31,,,,,,,,,17383000000,,,,0,,332000000,,,14752000000,,,,2364000000,29513000000,5.10171E+11,0,,,,,0,,0,8830000000,,66204000000,2020-4-17,0,0,,,13346000000,1,,,2019-12-31,,,4.31089E+11,1.22738E+11,,,5.18775E+11,1141000000,,,,34851000000,,2.95951E+11,0,79082000000,42493000000,,0,,,8663000000,,,0,,,,6.15602E+11,,,,0,6.14588E+11,2020-4-17,,25000000000,39993000000,1.72057E+11,92667000000,26463000000,,,,,28528000000,,59515000000,63140000000,0,,,1014000000,33663000000,1.05451E+11,,195000000,,2500000000,,15381000000,2019-1-1,-61644000000,CNY,合并,年度报告,年度报告,10007156
21836000000,3.07531E+11,2019-12-31,102000000,1179000000,,,,14387000000,,,19500000000,,,,0,,8000000,,,,,,,43639000000,,3.37106E+11,0,15153000000,,,,0,,0,-29664000000,,1.95813E+11,2020-4-28,0,0,,44230000000,11031000000,1,,83301000000,2019-12-31,,,3.1691E+11,92404000000,,,2.71238E+11,,,,,36183000000,,1.98315E+11,0,20196000000,3.10483E+11,,0,,9103000000,21936000000,,,0,,,,3.07133E+11,,,,0,3.02011E+11,2020-4-28,,3.18211E+11,,1.40398E+11,1.86941E+11,-8872000000,,,21836000000,14387000000,34312000000,,45409000000,,0,,,5122000000,3.40147E+11,,,198000000,,3.10483E+11,26353000000,6432000000,2019-1-1,398000000,CNY,合并,年度报告,年度报告,10008249
18277883000,1.81062E+12,2019-12-31,,,,,,990487000,,,7605834000,,,,0,,18306000,,,,,35733472000,,1856553000,,2.33862E+11,0,,,,,0,,0,356315000,8336116000,25573215000,2020-4-25,0,0,,,2879052000,1,,,2019-12-31,,,1.93524E+11,42476924000,,,1.79526E+12,,,,,15345852000,,98787434000,0,40338631000,3.76509E+11,,0,,,7266125000,,,0,,,,1.83493E+12,,29959489000,,0,1.83232E+12,2020-4-25,,3.68885E+11,,1.3923E+11,42051752000,16478537000,,,18277883000,990487000,,,19100160000,,0,,,2608517000,3.76153E+11,35733472000,,90321000,1132000,3.76509E+11,14565000000,7587201000,2019-1-1,-24306730000,CNY,合并,年度报告,年度报告,10034047
,24521837000,2019-12-31,,,,,,514524000,,,281000000,,,,0,,4241000,,,,,,,32364000,,15234422000,0,,,1167490000,,0,,0,-4015645000,394388000,6757923000,2020-4-24,0,0,,,354648000,1,,,2019-12-31,,,11446555000,4377388000,,,23438407000,,,,,1079189000,,9833857000,0,3787867000,25248189000,,0,,,163834000,,,0,,,,24963109000,,,,0,24665008000,2020-4-24,,29100000000,,11027074000,6085188000,-672735000,-2079766000,,,-1565242000,,,1405299000,-1489894000,0,,,298101000,29263834000,1167490000,,-3685000,,25248189000,120000000,742605000,2019-1-1,-441272000,CNY,合并,年度报告,年度报告,10116499
,7.42634E+11,2019-12-31,,,,,,,,,1433066000,,,,0,,5714000,,,,,,,2338752000,,60067746000,0,,,4386390000,,0,,0,4428526000,,17880589000,2020-4-28,0,0,,,2053575000,1,,,2019-12-31,123700000,,53118317000,16065639000,,,7.30224E+11,,,,,12404511000,,35869514000,0,6949429000,1.40584E+11,,0,,,4895174000,,,0,73314000,,,7.42624E+11,,3376657000,,0,7.41533E+11,2020-4-28,,1.3126E+11,,22522550000,29270036000,11389447000,,,73314000,,2823415000,,7961946000,,0,,,1090917000,1.36155E+11,4386390000,,1169000,,1.4046E+11,11931000000,2350245000,2019-1-1,10323000,CNY,合并,年度报告,年度报告,10035531
