CAPITALRESERVE,SETTLEMENTPROVISION,LTACCOUNTPAY,BILLREC,LLIABOTHER,OTHERPAY,LASSETOTHER,LOANADVANCES,INTERESTPAY,SPECIALRESERVE,SELLBUYBACKFASSET,REPORTDATE,LIABOTHER,ADVANCEPAY,LTREC,SUMLLIAB,SUMLASSET,OTHERREC,ANTICIPATELIAB,NONLLIABONEYEAR,GENERALRISKPREPARE,SUMASSET,TRADEFLIAB,MONETARYFUND,DEFERINCOMETAXASSET,MINORITYEQUITY,OILGASASSET,ACCOUNTPAY,SUMLIABSHEQUITY,SUMNONLLIAB,BUYSELLBACKFASSET,AGENTTRADESECURITY,BORROWFROMCBANK,COMMPAY,INVENTORYSHARE,OTHERLASSET,ENDDATE,SUMLIAB,BORROWFUND,ACCOUNTREC,PREMIUMREC,SHEQUITYOTHER,SUMPARENTEQUITY,DEFERINCOME,ESTATEINVEST,STARTDATE,PARENTEQUITYOTHER,NONLLIABOTHER,OTHERNONLLIAB,PRODUCTBIOLOGYASSET,INTANGIBLEASSET,RICONTACTRESERVEREC,DIVIDENDREC,ADVANCERECEIVE,STBORROW,SALARYPAY,SURPLUSRESERVE,NONLASSETOTHER,SHARECAPITAL,LTBORROW,DEFERINCOMETAXLIAB,RETAINEDEARNING,SUMSHEQUITY,ANTICIPATELLIAB,CONSTRUCTIONPROGRESS,INTERESTREC,OTHERLLIAB,LATESTNOTICEDATE,HELDMATURITYINV,OTHERNONLASSET,INVENTORY,ASSETOTHER,TAXPAY,FIXEDASSET,CONTACTRESERVE,SUMNONLASSET,BONDPAY,NONLASSETONEYEAR,LTDEFERASSET,FIRSTNOTICEDATE,GOODWILL,RIPAY,STBONDREC,DIVIDENDPAY,LTEQUITYINV,AGENTUWSECURITY,DEVELOPEXP,RIREC,SALEABLEFASSET,LENDFUND,BILLPAY,DEPOSIT,SUSTAINBOND,CLHELDSALEASS,OTHERCINCOME,FVALUEFASSET,LTSALARYPAY,PREFERSTOCBOND,CLHELDSALELIAB,SUSTAINBOND,DEFINEFVALUEFASSET,FVALUEFLIAB,DEFINEFVALUEFLIAB,PREFERSTOCBOND,OTHEREQUITYOTHER,OTHEREQUITY,DERIVEFLIAB,DERIVEFASSET,SHORTFINANCING,ACCOUNTBILLPAY,ACCOUNTBILLREC,OTHERNONFASSET,OTHCREDINV,OTHEREQUITYINV,CREDINV,DRAWINGEXP,CONTRACTLIAB,CONTRACTASSET,AMORCOSTFLIAB,HELDSALEASS,FVALUECOMPFASSET,AMORCOSTFLIABFLD,HELDSALELIAB,FVALUECOMPFASSETFLD,AMORCOSTFASSETFLD,AMORCOSTFASSET,MARGINOUTFUND,CURRENCY,REPORTSOURCETYPE,REPORTTIMETYPE,COMPANYCODE,COMBINETYPE,TOTAL_OTHER_RECE,FINANCE_RECE,TRADE_FINLIAB_NOTFVTPL,USERIGHT_ASSET,LEASE_LIAB,TRADE_FINASSET_NOTFVTPL,TOTAL_OTHER_PAYABLE,CONSUMPTIVE_BIOLOGICAL_ASSET
93360545.64,,,56233577.68,,,,,,,,2019-12-31,,927618.02,,35577498.91,675746528.6,,,,,824160765.5,,452625273.1,2908084.34,,,22465133.81,824160765.5,73283623.58,,,,,,6188757.1,2020-9-30,108861122.5,,55983557.45,,,715299643,,,2019-1-1,,,,,11618636.91,,,97681.16,,1200,62732184.9,,453335227,,,77019131.8,715299643,,864282.9,,33011.22,2020-10-29,,2018454.45,102904288.1,,1860028.12,130192514.1,,148414236.9,73283623.58,,,2020-4-28,,,,,,,812264.2,,,,9172887.83,,,,,,,,,,,,,,,28852553.66,,,,31638021.64,112217135.1,,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181960,合并,883457.11,,,,,,1947556.77,
882723066.3,,11025000.09,3696180.25,,,,,1528201.39,,,2019-12-31,,222064368.6,,2432687335,3962200380,,,70593717.62,,9149772044,,1554781324,35987736.49,801351905.5,,659216483.8,9149772044,217593245.7,,,,,70688750,121711175.9,2020-9-30,2650280581,,362060802.4,,,5698139558,31841250,,2019-1-1,,,,94826312.88,245564167.4,,25353722.11,209529248.7,1050878206,62549364.12,352059456.9,,922304396,174330000,396995.58,3605618553,6499491463,,240012874.9,,,2020-10-27,,337463267.6,1568373133,,37680953.84,2023113939,,5187571663,,,134504217.8,2020-3-31,290425.67,,,1434027.14,2070047883,,,,,,,,,,6122835.3,,,,,,,,,,,,,3912584.3,,659216483.8,365756982.6,,,5760839.23,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10137819,合并,85600811.75,,,,,40000000,342239361.3,
839115113.4,,,1976383236,,,,,4831749.01,11810858.31,,2019-12-31,,93183465.96,,4454089196,4452744701,,,711977777.2,,9392280570,,613000364.8,18458589.23,,,1854705643,9392280570,425302985.6,,,,,,174510375.3,2020-12-31,4879392182,,1107245636,,,4512888388,45408644.7,21665171.83,2019-1-1,,,,,427130471.5,,,,1316277483,31758290.8,193555355.7,,487500000,281902410.3,86975757.21,2974971418,4512888388,,936828544.1,,,2021-3-30,,268922264.8,483619647.2,,129352280.8,3070665219,,4939535869,,,6935053.37,2020-3-27,,,,,,,,,,,338562948.4,,,,5935642.83,,,,,,,,,,,,917754.01,1117793.99,,2193268591,3083628872,,,,,,24993817.16,,,,,,,,,,,CNY,年度报告,年度报告,10472811,合并,3684181.68,,,188930554.5,11016173.42,,45543202.52,
345687008.6,,,3245322.51,,,,,,,,2019-12-31,,15789683.47,,149749832,1763559339,,,,,2004795086,,503005768.2,3540358.05,13133293.74,,63434870.38,2004795086,7769970.29,,,,,,9580834.2,2020-9-30,157519802.3,,123971307.1,,,1834141990,5896872.57,,2019-1-1,,,,,18440361.32,,,43308124.45,,23260477.3,114928013.5,,418044000,,1873097.72,947472251.3,1847275283,,543842.86,6444.44,2204121.74,2020-10-30,,68400,346103965.4,,14320070.75,19350287.48,,241235746.3,,,8852933.09,2020-4-21,102294256.4,,,,48360210.7,,1436702.44,,,,,,,,8010716.34,,,,,,,,,,,,,,,63434870.38,127216629.6,,,38348394.04,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181964,合并,15589820.85,,,,,746272637.6,3222167.38,
377018258.1,,277649130.6,41447404.7,,,,,,,,2019-12-31,,29904679.19,,747174248.7,3025434137,,119839605.6,,,5827016800,,2283745103,68971427.28,,,240267830.1,5827016800,459294752,,,,,1123200,11308229.23,2020-9-30,1206469001,,393038964.8,,,4620547799,59128832.56,,2019-1-1,,,,,318780253,,,18177329.21,,98446944.36,332837328.8,,873557363,,2677183.26,3037199544,4620547799,,540384056.8,,141138688.1,2020-10-27,,139293729.5,263142354.6,,111316208.1,732641825.3,,2801582663,,,3471477.87,2020-4-29,214838879.3,,,37082.88,8807430.25,,774393583.2,,,,,,,,1058505.55,,,,,,,,,,,,,,,240267830.1,434486369.5,,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10181907,合并,2847401.82,,,,,,137827248.8,
1018156607,,,37136571.16,,,,,,,,2019-12-31,,4416868.67,,811265048.6,3316228117,,15933889.27,,,4394148319,,1554888375,17363479.57,,,638231662.6,4394148319,16468841.12,,,,,,3164450.21,2020-9-30,827733889.8,,969708269.3,,,3566414429,,,2019-1-1,,,,,7359978.26,,,5645705.97,,65081086.89,411012095,,998292105,,534951.85,1130406920,3566414429,,2835452.15,2330229.58,,2020-10-30,,38097613.69,274568732.7,,13228893.68,1004763678,,1077920202,,,,2020-4-29,,,,,,,,,,,36411234.38,,,,8546702.6,,,,,,,,,,,,,,,674642897,1006844840,7500000,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10122276,合并,21203426.41,,,,,451141423.7,52666465.13,
448635302,,,,,,,,,,,2019-12-31,,4168837.61,,214067273.1,911747501,,,,,1905460495,,296109342.2,4140125.29,,,39165662.88,1905460495,33350681.01,,,,,,10306507.39,2020-12-31,247417954.1,,128565265.7,,,1658042541,26889647.68,,2019-1-1,,,,,219647213.4,,,20633554.09,,38851289.31,121801106.5,,321496000,,6461033.33,766110132.4,1658042541,,31434087.03,,,2021-3-9,,33946418.47,118049426.8,,4811226.08,363933688.5,,993712994,,,1411844.85,2020-4-29,17812208.99,,,,153441530.4,,,,,,,,,,,,,,,,,,,,,,,,,39165662.88,128565265.7,167945877.1,,,,,,,,,,,,,,,,CNY,财务报告,年度报告,10181922,合并,32691434.27,6856687,,,,315000000,110605540.8,
1049395507,,,31543675.73,,,,,652336.65,,,2019-12-31,,56383323.43,,876330026.5,1245794944,,13971418.19,,,3212353821,,152539980.2,18809390.38,,,160555851.4,3212353821,185696312.5,,,,,14871600,666730.87,2020-9-30,1062026339,,441052463.3,,,2150327482,171724894.3,,2019-1-1,,,,,87638772.24,,,2229031.02,462000000,12476406.92,90295572.65,,595258710,,,430249291.6,2150327482,,207702131.2,,,2020-10-21,,31255810.72,414590630.5,,14455138.22,1561818782,,1966558877,,,79772.08,2020-3-26,,,,,59254217.88,,,,,,208628437.3,,,,,,,,,,,,,,,,,,,369184288.7,472596139.1,,,,,,,,,,,,,,,,,CNY,三季度报告,年度报告,10199453,合并,10976384.48,138041755.2,,,,,15985161.58,
14374587738,6640493386,,,,,,,,,25756432947,2019-12-31,634819545.9,,,,,,3400000,,4166681951,1.71E+11,,47637137012,1036594700,2611416930,,2133791583,1.71E+11,,8627869455,34604898441,,,,,2020-9-30,1.34E+11,505444444.4,2412086361,,,34432270051,,151880669,2019-1-1,,,,,200171764.9,,,,5883211120,4343811032,1716990955,,6696671674,2999186930,10805777.24,6978612570,37043686982,,,,,2020-10-31,,,,6683901266,903660728.3,606697731.5,,,45375193661,,,2020-4-25,12264149.78,,,,1773261294,,,,,,,,,,498725163.4,,,,,,,,,,,,18023444.6,15379993.11,,,,,22996386470,2495987365,,,,,,,,,,,,,20735063328,CNY,三季度报告,年度报告,10004822,合并,,,3993399432,,,48549780286,,
16376028946,6905622238,,,,,,,,,21291594889,2019-12-31,264187389,,,,,,132600448.4,,3737116520,1.37E+11,,32774928025,431637049.2,928575096.7,,8561417152,1.37E+11,,3853273932,25111795977,,,57811018.72,,2020-9-30,97114809391,5915946944,575289743.5,,,38551805514,,171374388.7,2019-1-1,,,,,262160983.3,,,,,1327393196,1463783728,,8232101395,,6265273.27,8467775867,39480380611,,14521120.38,,,2020-10-31,,,,6840762929,342889591.4,509644514.2,,,19939519051,,,2020-4-25,4523034174,,,,,,,,,,,,,,332810077.2,,,,,,,,,,,,221311163.1,3963245.5,,,,,24901391747,5041986770,,,,,,,,,,,,,20282441858,CNY,三季度报告,年度报告,10004823,合并,,,11982384656,,,29503157282,,
