NETPROFIT,FIRSTNOTICEDATE,INTEXP,INVESTINCOME,SURRENDERPREMIUM,TOTALOPERATEREVE,DILUTEDEPS,NONOPERATEREVE,NETCONTACTRESERVE,EXCHANGEINCOME,NONOPERATEEXP,PARENTOTHERCINCOME,COMMEXP,PREMIUMEARNED,SUMPROFIT,MINORITYCINCOME,COMBINEDNETPROFITB,INCOMETAX,MINORITYINCOME,TOTALOPERATEEXPOTHER,PARENTNETPROFIT,OTHERREVE,SALEEXP,BASICEPS,STARTDATE,PARENTCINCOME,POLICYDIVIEXP,SUMCINCOME,OTHEREXP,FVALUEINCOME,COMMREVE,FINANCEEXP,NETINDEMNITYEXP,OPERATEEXP,NONLASSETNETLOSS,INVESTJOINTINCOME,NETPROFITOTHER2,OPERATEREVE,OTHERCINCOME,TOTALOPERATEREVEOTHER,RDEXP,ASSETDEVALUELOSS,LATESTNOTICEDATE,OPERATETAX,OPERATEPROFIT,RIEXP,TOTALOPERATEEXP,INTREVE,MANAGEEXP,OPERATEPROFITBALANCE,MINORITYOTHERCINCOME,REPORTDATE,ENDDATE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,INVESTEDCANTREC,OTHERCINCOMEOTHER,FVALUEOSALABLE,OTHERCINCOMEREC,CANTRECOTHER,INVESTEDREC,OTHERCINCOMECANTREC,RECOTHER,REMEDEFINEDBENEFIT,DIFFCONVERSIONFC,SUMCINCOMEOTHER,TERMINATIONONPROFIT,MIOTHERINCOME,CONTINUOUSONPROFIT,ADISPOSALINCOME,OFWINTREVE,CREDRISKFVALUE,OTHCREDINVCRED,OTHCREDINVFVALUE,OFWINTEXP,NETEXHEDGINCOME,CREDDEVALUELOSS,OTHEREQUITYINVFVALUE,FASSETRECOTHER,CURRENCY,COMPANYCODE,COMBINETYPE,REPORTTIMETYPE,REPORTSOURCETYPE,ACF_END_INCOME,CREDIT_IMPAIRMENT_INCOME,ASSET_IMPAIRMENT_INCOME
163382644.4,2020-3-12,,832630.51,,1282282705,0.1076,569805.09,,,10652266.34,,,,267485375.9,-10680728.07,,104102731.5,-10680728.07,,174063372.5,,65803317.49,0.1076,2019-1-1,174063372.5,,163382644.4,,,,8474331.66,,519838762.5,,-3720167.46,,1282282705,,,,,2020-3-12,299737130.2,277567837.2,,946470146.3,,52616604.39,0,,2019-12-31,2019-12-31,,,,,,,,,,,,,,,471858.46,163382644.4,30500.46,7461369.52,,,,11208516.68,,,,,CNY,10005767,合并,年度报告,年度报告,,1659488.15,-61239199.14
359017893.8,2020-3-7,,13074436.47,,1799947847,0.87,4499939.91,,,4327504.39,,,,414389546.8,154915623.7,,55371653.06,154915623.7,,204102270.1,,445139636.5,0.87,2019-1-1,204102270.1,,359017893.8,,,,-3550960.59,,735290019.4,,,,1799947847,,,65080879.74,,2021-3-27,24002184.25,414217111.3,,1406634945,,140673185.3,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,15412884.26,359017893.8,-1925294.66,5606150.21,,,,1225080.27,,,,,CNY,10005782,合并,年度报告,年度报告,,-5084129,-573688.11
560356606.1,2020-1-21,,168886647.7,,17395515760,0.1847,15379213.94,,,29372314.16,1649603.18,,,553601459.1,298611426.9,,-6755147,299673823.3,,260682782.8,,356913846.7,0.1847,2019-1-1,262332386,,560943812.9,,,,459340919.6,,14582295116,,157201578.1,,17395515760,587206.78,,835775148,,2020-4-17,252055865.7,567594559.3,,17146642486,,660261590,0,-1062396.4,2019-12-31,2019-12-31,,,,,,1649603.18,,1608674.08,,,,4134334.57,,,286921333.6,560356606.1,42001.02,7396329.28,,,-4093405.47,447384963.1,,,,,CNY,10002619,合并,年度报告,年度报告,,32227719.74,-169356416.7
1622973893,2020-3-13,,11726266.43,,6939993812,1.99,43757144.88,,,8297533.05,,,,1893146289,,,270172395.9,,,1622973893,,3449113492,1.99,2019-1-1,1622973893,,1622973893,,10586996.81,,-21950819.23,,1110230722,,3615.86,,6939993812,,,210141593.9,,2020-3-13,109682820.1,1857686677,,5115449227,,258231418.5,0,,2019-12-31,2019-12-31,,,,,,,,,,,,,,,10815261.6,1622973893,299587.69,53117405.55,,,,30737617.67,,,,,CNY,10002632,合并,年度报告,年度报告,,-286020.24,
814427412.8,2020-3-11,,26777920.5,,2869496572,0.66,3731853.88,,,1552118.32,,,,1061960913,-4181210.5,,247533499.8,-4181210.5,,818608623.3,,116173582.1,0.66,2019-1-1,818608623.3,,814427412.8,,-81962689.59,,20472912.46,,1166139620,,6496446.46,,2869496572,,,,,2021-3-25,261085777.2,1059781177,,1680940202,,117068310.4,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,4169997.61,814427412.8,-4849.5,62626625.06,,,,82664735.72,,,,,CNY,10002661,合并,年度报告,年度报告,,-73334386.68,-4421184.64
23069497.8,2020-2-29,,4476359.72,,120284870.6,0.157,14118008.46,,,7486881.01,,,,30784076.09,,,7714578.29,,,23069497.8,,2745363.75,0.157,2019-1-1,23069497.8,,23069497.8,,,,4563605.31,,55849172.4,,-559531.08,,120284870.6,,,,,2021-2-27,6141909.7,24152948.64,,98794236.91,,29494185.75,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,229979,23069497.8,-8388.46,3143241.85,,,,7603659.13,,,,,CNY,10002663,合并,年度报告,年度报告,,-2035635.32,
480151348.6,2020-3-10,,-15720400.64,,6633068517,0.218,2072521.14,,,5276757.71,-33008492,,,546767738,11096150.07,,66616389.44,11234617.3,,468916731.3,,137119397.8,0.218,2019-1-1,435908239.3,,447004389.3,,,,46071682.48,,5453775261,,-5572139.64,,6633068517,-33146959.23,,252394354.4,,2021-3-27,39714356.14,549971974.6,,6172469916,,243394864.3,0,-138467.23,2019-12-31,2020-12-31,,,,,,-76731.34,,,-32931760.66,,,-76731.34,,,18143915.59,480151348.6,165678620.9,6137945.8,,,,54404854.47,,,-32931760.66,,CNY,10007168,合并,年度报告,年度报告,-8702920.99,-78728761.54,
829364995.4,2020-3-18,,242908.51,,30281970068,0.4049,17609910.19,,,2517630.18,16497459.51,,,1018624639,,,189259643.5,,,829364995.4,,472167334.9,0.4049,2019-1-1,845862454.9,,845862454.9,,,,725573915.5,,25180411084,,242908.51,,30281970068,16497459.51,,1856907234,,2021-3-13,194494535.5,1003532359,,29520919770,,1091365666,0,,2019-12-31,2020-12-31,,,,,,16646969.74,,,-149510.23,,-149510.23,16646969.74,,,670606114.6,829364995.4,577567.63,51194659.56,,,,732379323.7,,,,,CNY,10004133,合并,年度报告,年度报告,,15830490.04,-444775019.9
871387969.3,2020-3-10,4685957.48,213261757.3,,22837569682,0.24,1121620.3,,54192.92,14676223.82,39136162.33,3599406.91,,1026199573,18552199.81,,154811604.1,19282830.71,,852105138.6,,283588796.7,0.24,2019-1-1,891241301,,909793500.8,,151619021.3,11814762.4,177860837.1,,20726625903,,49453541.42,,22800522837,38405531.43,,296244452.2,,2020-3-10,183949692.8,1039754177,,22210012309,25232081.89,533457262.9,0,-730630.9,2019-12-31,2019-12-31,,9326156.32,,,,57376055.67,,,-18239893.34,,-18979569.38,45340081.81,,,68842788.3,871387969.3,,88400200.94,,,-537156.85,243346016.9,,,739676.04,3246974.39,CNY,10004141,合并,年度报告,年度报告,,-8439009.77,-13141945.54
5260864460,2020-2-22,,1149911811,,10944668478,2.61,2403731.71,,,9416454.85,,,,6667577306,230654407.2,,1406712846,230654407.2,,5030210053,,75738.82,2.61,2019-1-1,5030210053,,5260864460,,,,-208705251.6,,5340221125,,1149911811,,10944668478,,,,,2021-3-27,10066107.96,6674590029,,5406692616,,265034895.5,0,,2019-12-31,2020-12-31,,,,,,,,,,,,,,,3591023.62,5260864460,,208978282.7,,,,,,,,,CNY,10002260,合并,年度报告,年度报告,,-16888667.31,
