ACCOUNTPAY,AGENTTRADESECURITY,ANTICIPATELIAB,ASSETBALANCE,ASSETOTHER,BONDPAY,BORROWFUND,BUYSELLBACKFASSET,CAPITALRESERVE,COMBINETYPE,COMPANYCODE,CONSTRUCTIONPROGRESS,CURRENCY,DEFERINCOMETAXASSET,DEFERINCOMETAXLIAB,DEFINEFVALUEFASSET,DEFINEFVALUEFLIAB,DERIVEFASSET,DERIVEFLIAB,DIFFCONVERSIONFC,DIVIDENDPAY,ENDDATE,ESTATEINVEST,FIRSTNOTICEDATE,FIXEDASSET,FVALUEFASSET,FVALUEFLIAB,GDEPOSITPAY,GENERALRISKPREPARE,GOODWILL,HELDMATURITYINV,INTANGIBLEASSET,INTERESTPAY,INTERESTREC,LATESTNOTICEDATE,LENDFUND,LIABBALANCE,LIABOTHER,LIABSHEQUITYBALANCE,LIABSHEQUITYOTHER,LTBORROW,LTEQUITYINV,MINORITYEQUITY,MONETARYFUND,OTHERASSET,OTHERLIAB,PARENTEQUITYBALANCE,PARENTEQUITYOTHER,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,RETAINEDEARNING,SALARYPAY,SALEABLEFASSET,SELLBUYBACKFASSET,SETTLEMENTPROVISION,SHARECAPITAL,SHEQUITYBALANCE,SHEQUITYOTHER,STARTDATE,STBORROW,SUMASSET,SUMLIAB,SUMLIABSHEQUITY,SUMPARENTEQUITY,SUMSHEQUITY,SURPLUSRESERVE,TAXPAY,TRADEFASSET,TRADEFLIAB,OTHEREQUITY,PREFERREDSTOCK,SUSTAINABLEDEBT,OTHEREQUITYOTHER,OTHERCINCOME,PREFERSTOCBOND,SUSTAINBOND,SHORTFINANCING,AMORCOSTFASSET,FVALUECOMPFASSET,AMORCOSTFLIAB,HELDSALEASS,HELDSALELIAB,LTDEFERASSET,FINANCE_RECE,USERIGHT_ASSET,LEASE_LIAB,TRADE_FINASSET_NOTFVTPL,TRADE_FINLIAB_NOTFVTPL,CREDITOR_INVEST,OTHER_CREDITOR_INVEST,OTHER_EQUITY_INVEST,NOTE_RECE,ACCEPTDEPOSIT,ACCOUNTREC,ADVANCEREC,BILLPAY,CAPITALGDEPOSITPAY,CLAIMPAY,CLAIMRESERVE,CLAIMRIRESERVEREC,COMMPAY,CONTACTRESERVE,CREDITORPLANINV,FIDEPOSIT,GDEPOSITREC,INDEPENDENTASSET,INDEPENDENTLIAB,INSUREDDEPOSITINV,INSUREDPLEDGELOAN,INVESTREC,JUNIORBONDPAY,LIFERESERVE,LIFERIRESERVEREC,LOANADVANCES,LTHEALTHRESERVE,LTHEALTHRIRESERVEREC,OTHERPAY,OTHERREC,POLICYDIVIPAY,PREMIUMADVANCE,PREMIUMREC,RICONTACTRESERVEREC,RIPAY,RIREC,TDEPOSIT,UNDUERESERVE,UNDUERIRESERVEREC,SUBROGATIONREC,AGENTUWSECURITY,CAGENTTRADESECURITY,CLIENTCREDITFUND,CLIENTFUND,CLIENTPROVISION,CREDITPROVISION,DIVIDENDREC,INVENTORYSHARE,MARGINOUTFUND,MARGINOUTSECURITY,PLEDGEBORROW,SEATFEE,TRADERISKPREPARE,AGENCYASSETS,AGENCYLIAB,RECEIVABLES,NOTE_PAYABLE
1355795685,45379568828,3010922390,0,,47356464737,6063705401,8285807369,23278784167,合并,10004829,3105418.2,CNY,1618157267,128461905.8,,,9239091.67,103677498.2,,,2020-12-31,,2020-3-28,825705310.5,,,4415527844,6868588465,1016192826,,314058497.2,,,2021-3-26,,0,64890.29,,,6255246403,1039416216,1574082968,49011813512,5575181788,6822841005,0,,2019-12-31,年度报告,年度报告,9785174730,1558272175,,24636109604,3688567655,4610787639,0,,2019-1-1,5424945317,2.0409E+11,1.55072E+11,2.0409E+11,47444724840,49018807808,2971443494,848014798.2,,,,,,,-70053654.33,,,4489382551,,,,,,100417584,,755776122.8,744847932.8,65403593690,893217959.4,7205865813,12552867665,5072521595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37971941336,1965549375,,,,34118659152,,,,,,,3077872474,
25186640,10149086367,,0,,6251917663,5511784061,2742426644,6713296178,合并,10004835,,CNY,174961762,33049056,,,18351897,19615860,,,2020-9-30,,2020-4-28,384302724,,,2940672900,628719120,476939901,,117553798,,,2020-10-27,,0,,,,,421754695,561264051,15734010625,810699711,1405958569,0,,2019-12-31,三季度报告,年度报告,1382574910,150267996,,12200643294,2620361716,2828725153,0,,2019-1-1,183832245,55695777181,42480036575,55695777181,12654476555,13215740606,556740074,93071311,,,,,,,-54799201,,,4323301803,,,,,,,,,,22247491671,2132321710,32520311,1165745108,239373750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8460155123,1281863152,,,,5468405079,,,,599220321,,,100204889,
5612322666,79680644548,447520546.4,0,75894968,82679653386,2984030099,20688609848,31205148514,合并,10005679,,CNY,1058688190,281428026.2,,,72360510.75,201165150.3,,,2020-12-31,45498974.15,2020-3-28,1931245434,,,6646320076,14864486796,2324617.34,,410080010.4,,,2021-3-30,,0,68653337.99,,,3533362320,6726965610,2902611349,80707187961,5235483494,2687604963,0,,2019-12-31,年度报告,年度报告,29655551451,6096447358,,95396420756,19548481537,7621087664,0,,2019-1-1,1038012912,3.94391E+11,3.00254E+11,3.94391E+11,91233984272,94136595621,6344759089,705722399.8,,,,,,,1542950758,,,14880673400,,,,,,,,712915206.5,701576557,81105233305,3142229045,2280131946,98597038472,11386054092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117000000,,,58365640922,17088247532,,,,54787459180,,,,,,,2373089661,
375126023.1,27257349949,,0,,28319625787,4662651806,7343680497,10450100713,合并,10005685,2559261.07,CNY,484879035.6,83444430.87,,,7230559.18,5272532.79,,,2020-9-30,,2020-4-29,268366041,,,1681642139,4043758846,77785308.6,,153175187.6,,,2020-10-31,,0,,,,,1052548206,187716695.9,33024928718,300192506.5,534861712,0,,2019-12-31,三季度报告,年度报告,5056285108,1860191161,,12391002023,4262364479,5529563428,0,,2019-1-1,,1.09343E+11,81190688073,1.09343E+11,27964591891,28152308587,1822337621,622416227.9,,,929699014.7,,,,132847159.6,,,4188442571,,,,,,,,,,32329111128,190303849.5,19359924.42,5935613265,2466410342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000000,,,22520736127,3492713466,,,,19579328299,,,,,,,353821762,
99925740.26,11242411451,,0,,15460003463,1408302778,1560086844,7768259719,合并,10002547,574160498.1,CNY,359509156.5,102557630.9,,,79592.31,15884343.01,,,2020-9-30,32055324.93,2020-4-30,290114812.8,,,879184971.2,2124316091,192424935.6,,166420622.2,,,2020-10-31,,0,,,,,2013395349,-35790997.32,13424712916,484865302.8,172362321.5,0,,2019-12-31,三季度报告,年度报告,2771469583,1146654235,,14515651543,2912119926,5645109124,0,,2019-1-1,,65850994602,46293216845,65850994602,19593568754,19557777757,1100648040,39378850.65,,,,,,,183766198.1,,,1310320448,,,,,,,,,,17667368834,779764040.1,,11383678880,3317992714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9789333913,1616211294,,,,10578077247,,,,,,,14746675.73,
4937060039,61724219804,,0,,65991501508,7013198556,35679824625,27533939437,合并,10004774,66583575.56,CNY,826872488.4,485282411.7,,,1805818796,2183222424,,,2020-12-31,,2020-3-28,1474162062,,,4780890141,11165277428,9670605.55,,436565507.4,,,2021-3-27,,0,,,,1413614693,8833586050,79529719.14,61927739281,3447579111,1621664577,0,,2019-12-31,年度报告,年度报告,19256085700,5567916992,,97706685534,12471615672,6699409329,0,,2019-1-1,3103672686,3.81772E+11,2.96644E+11,3.81772E+11,85048320108,85127849827,5236148008,468848992.7,,,15000000000,,15000000000,,821414658.9,,,33098616429,,,,,,,,1189838713,1252147382,1.38146E+11,10076386274,1894635258,45734306885,7057809335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53040322679,8125251788,,,663954452.6,55224619148,,,,,,,763703283.8,
407104987.3,12093603888,450000,0,,2299073939,900492916.7,997504747.8,9501180308,合并,10004880,62313227.21,CNY,718901736.9,38552931.56,,,23034937.96,49618162.54,,,2020-9-30,,2020-4-2,161142698.4,,,1493524839,983608081.7,6243686.47,,166977680.8,,,2020-10-23,,0,1437624193,,,,31553798.39,77820090.19,12074739150,302159572.7,118245907,0,,2019-12-31,三季度报告,年度报告,1803007111,559861382.9,,11836826525,2871252167,3501839770,0,,2019-1-1,,48598499334,30861813590,48598499334,17658865654,17736685744,979290197.6,99422916.61,,,,,,,-17862668.46,,,,,,,,,,,,,23611853750,1020935840,496315008.7,795762701.3,99817728.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9661085880,1692932143,,,,4592771031,,,,907802853.8,,,92630870.79,
42208491987,1.23352E+11,22737711.14,0,,1.26011E+11,33136195311,58830052958,54152030508,合并,10002269,294310677.2,CNY,5241489040,2843995358,,,7351073185,13991750056,,,2020-12-31,1254733415,2020-3-20,7467445694,,,1459936902,25614987937,10022823788,,3072628058,,,2021-3-19,,0,938146481.4,,,383333834.2,9001082584,3824583551,1.50152E+11,8034002933,4345232977,0,,2019-12-31,年度报告,年度报告,60104047193,14608233937,,1.74448E+11,32692075416,12116908400,0,,2019-1-1,7404904947,7.91722E+11,6.26273E+11,7.91722E+11,1.61625E+11,1.6545E+11,8682886571,2884804838,,,,,,,954348112.5,,,20137293291,,,,194678484.1,,,,1600884518,1566902657,3.55348E+11,57716998786,,23684062706,16279368863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,272990189.5,,,95416860961,22984523859,,,,70673845177,,,,,,,29067859327,
512896608.9,13595885740,,0,,4155167123,200956944.4,5419444484,7852125555,合并,10002333,,CNY,308381799.5,85852022.55,,,,55844982,,,2020-9-30,,2020-4-2,82086210.63,,,985053449.6,2218059862,46051960.45,,65204766.14,,,2020-10-30,,0,,,,,574930694.7,65802596.56,13906547253,159171460.1,95858109.16,0,,2019-12-31,三季度报告,年度报告,6459920121,1848955478,,2867625222,2319895282,3024359310,0,,2019-1-1,246534740.7,50151031165,29362617957,50151031165,20722610611,20788413208,1118710113,157387311.8,,,,,,,49435650.49,,,3332214080,,,,,,,,,,13473513559,2207439594,152973211.9,795752348.6,2623191791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11461246776,1958106633,,,,9178386106,,,,,,,60446787.46,
39020993.89,19734231641,,0,,28239590640,,9806267228,11765216103,合并,10004790,,CNY,620316429.2,4650589.76,,,515945.01,4923382.96,,,2020-9-30,,2020-4-25,676034148.8,,,2578212328,2153950218,149905260.3,,187413953.5,,,2020-10-31,,0,,,,,1179023133,299879055.6,18198632388,270799585,2032068151,0,,2019-12-31,三季度报告,年度报告,3081589048,786812209.1,,13125823986,3352807144,3000000000,0,,2019-1-1,362188067.2,96234645048,74978852821,96234645048,20955913171,21255792227,848900937.3,116009444.6,,,,,,,125477406.2,,,4894327024,,,,,,,,,,37142619700,5609206692,142062707.3,5796376967,4372178680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14885031765,3043809592,,,19220540.31,11603902720,,,,,,,157516730.2,
