resultno,reportdate,reportscope,reportperiod,scope,regioncode,industrytype
20200331990100C39,2020/03,合并,季报,all,990100,C39
20191231330000R87,2019/12,合并,年报,all,330000,R87
20200331310000N77,2020/03,合并,季报,all,310000,N77
20190331320000C15,2019/03,合并,季报,all,320000,C15
20200630420000E48,2020/06,合并,半年报,all,420000,E48
20190331510000F52,2019/03,合并,季报,all,510000,F52
20190331360000F51,2019/03,合并,季报,all,360000,F51
20200331430000R87,2020/03,合并,季报,all,430000,R87
20200930110000F52,2020/09,合并,季报,all,110000,F52
20200930230000J69,2020/09,合并,季报,all,230000,J69
20200630150000C26,2020/06,合并,半年报,all,150000,C26
20190930650000D45,2019/09,合并,季报,all,650000,D45
20190930150000C14,2019/09,合并,季报,all,150000,C14
20190331440000G56,2019/03,合并,季报,all,440000,G56
20191231510000K70,2019/12,合并,年报,all,510000,K70
20200331420000C37,2020/03,合并,季报,all,420000,C37
20190630340000N78,2019/06,合并,半年报,all,340000,N78
20190630440000C29,2019/06,合并,半年报,all,440000,C29
20191231410000B06,2019/12,合并,年报,all,410000,B06
20190630640000C32,2019/06,合并,半年报,all,640000,C32
20200930140000F51,2020/09,合并,季报,all,140000,F51
20200930310000C38,2020/09,合并,季报,all,310000,C38
20200930110000C23,2020/09,合并,季报,all,110000,C23
20200930610000L72,2020/09,合并,季报,all,610000,L72
20191231440000M74,2019/12,合并,年报,all,440000,M74
20200331450000C13,2020/03,合并,季报,all,450000,C13
20200630120000M73,2020/06,合并,半年报,all,120000,M73
20200630420000C39,2020/06,合并,半年报,all,420000,C39
20190331420000C35,2019/03,合并,季报,all,420000,C35
20190331500000C15,2019/03,合并,季报,all,500000,C15
20200630130000D45,2020/06,合并,半年报,all,130000,D45
20200331440000C25,2020/03,合并,季报,all,440000,C25
20200630610000C42,2020/06,合并,半年报,all,610000,C42
20200630310000B08,2020/06,合并,半年报,all,310000,B08
20200630110000C13,2020/06,合并,半年报,all,110000,C13
20191231370000D45,2019/12,合并,年报,all,370000,D45
20190930110000C21,2019/09,合并,季报,all,110000,C21
20190930610000K70,2019/09,合并,季报,all,610000,K70
20190930440000C19,2019/09,合并,季报,all,440000,C19
20191231440000P83,2019/12,合并,年报,all,440000,P83
20191231440000Q83,2019/12,合并,年报,all,440000,Q83
20190930340000E48,2019/09,合并,季报,all,340000,E48
20200331430000A01,2020/03,合并,季报,all,430000,A01
20200630640000C30,2020/06,合并,半年报,all,640000,C30
20191231320000C37,2019/12,合并,年报,all,320000,C37
20190630370000C18,2019/06,合并,半年报,all,370000,C18
20200930510000E47,2020/09,合并,季报,all,510000,E47
20200331620000M74,2020/03,合并,季报,all,620000,M74
20190331140000C35,2019/03,合并,季报,all,140000,C35
20200930330000C36,2020/09,合并,季报,all,330000,C36
20200930310000G60,2020/09,合并,季报,all,310000,G60
20190630310000F52,2019/06,合并,半年报,all,310000,F52
20190630410000A03,2019/06,合并,半年报,all,410000,A03
20200930500000R86,2020/09,合并,季报,all,500000,R86
20200630320000C30,2020/06,合并,半年报,all,320000,C30
