ACCEPTINVREC,BUYFILASSETPAY,BUYSELLBACKFASSETPAY,BUYSELLBACKFASSETREC,CASHEQUIBEGINNING,CASHEQUIENDING,CASHEQUIENDINGBALANCE,CASHEQUIENDINGOTHER,COMBINETYPE,COMPANYCODE,CURRENCY,DISPFILASSETREC,DISPOSALINVREC,DISPSUBSIDIARYREC,DIVIPROFITORINTPAY,EFFECTEXCHANGERATE,EMPLOYEEPAY,ENDDATE,FINAFLOWBALANCE,FINAFLOWINBALANCE,FINAFLOWINOTHER,FINAFLOWOTHER,FINAFLOWOUTBALANCE,FINAFLOWOUTOTHER,FIRSTNOTICEDATE,INTANDCOMMPAY,INTANDCOMMREC,INVFLOWINBALANCE,INVFLOWINOTHER,INVFLOWOTHER,INVFLOWOUTBALANCE,INVFLOWOUTOTHER,INVINCOMEREC,INVPAY,ISSUEBONDREC,LATESTNOTICEDATE,LOANREC,NETFINACASHFLOW,NETINVCASHFLOW,NETOPERATECASHFLOW,NICASHEQUI,NICASHEQUIBALANCE,NICASHEQUIOTHER,NILENDFUND,OPERATEFLOWBALANCE,OPERATEFLOWINBALANCE,OPERATEFLOWINOTHER,OPERATEFLOWOTHER,OPERATEFLOWOUTBALANCE,OPERATEFLOWOUTOTHER,OTHERFINAPAY,OTHERFINAREC,OTHERINVPAY,OTHERINVREC,OTHEROPERATEPAY,OTHEROPERATEREC,REPAYDEBTPAY,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,STARTDATE,SUMFINAFLOWIN,SUMFINAFLOWOUT,SUMINVFLOWIN,SUMINVFLOWOUT,SUMOPERATEFLOWIN,SUMOPERATEFLOWOUT,TAXPAY,TAXRETURNREC,BUYSUBSIDIARYPAY,DISPSUBSIDIARYPAY,DIVIPAY,INDEMNITYPAY,INVCASHFLOWBALANCE,NDBUYSELLBACK,NDDEPOSITINCBANKFI,NDINSUREDDEPOSITINV,NDLENDFUND,NDSELLBUYBACK,NETRIPAY,NETRIREC,NETSELLBUYBACKFASSETPAY,NETSELLBUYBACKFASSETREC,NETTRADEFASSETPAY,NETTRADEFASSETREC,NIBUYSELLBACK,NIDEPOSIT,NIDEPOSITINCBANKFI,NIINSUREDDEPOSITINV,NIINSUREDPLEDGELOAN,NILOANADVANCES,NISELLBUYBACK,PREMIUMREC,AGENTTRADESECURITYPAY,AGENTTRADESECURITYREC,AGENTUWSECURITYREC,GETSUBSIDIARYPAY,INVCASHFLOWBALANCE,NDBORROWFUND,NDBUYBACKFUND,NDDIRECTINV,NDDISPSALEABLEFASSET,NDDISPTRADEFASSET,NDOTHERFINAINSTR,NDTRADESETTLEMENT,NIBORROWFUND,NIBUYBACKFUND,NIDIRECTINV,NIDISPSALEABLEFASSET,NIDISPTRADEFASSET,NIOTHERFINAINSTRU,NITRADESETTLEMENT,SUBSIDIARYACCEPT,SUBSIDIARYPAY,UWSECURITYREC
,326901979.2,,,38937006078,48127755021,0,,合并,10004829,CNY,13502642.54,8062253612,26972945.92,4182686985,31075039.21,3237591669,2020-12-31,0,0,,,0,9688947883,2020-3-28,1907696134,13488457218,0,,,0,,1189080688,11296088877,34538895200,2021-3-26,6020077939,-24218296769,-2331180968,35709151640,9190748943,0,,,0,0,1602684352,,0,5849795423,,,,,8715161648,2002332013,50905635040,2019-12-31,年度报告,年度报告,2019-1-1,40558973139,64777269908,9291809889,11622990856,60414440489,24705288848,1332026961,,,,,,,,,,,,,,,,,,,,,,,,,,,9711511843,,,0,,,,,,,,441263000,33168192063,,,,,,,121461819.8,
,92298841,,,14853884395,18136083250,0,,合并,10004835,CNY,14392638,,,678943990,3324665,1006348680,2019-12-31,0,0,23125450000,,0,,2020-4-28,889406700,3408326886,0,35809256,,0,,8641520,,2000000000,2020-4-28,,-321007734,-358364342,3958246266,3282198855,0,,,0,0,393808730,,0,254321432,1118644,183634900,,100000000,4330933743,6120471759,24950030000,2019-12-31,年度报告,年度报告,2019-1-1,25309084900,25630092634,158843414,517207756,14473652550,10515406284,287892250,,,,,,,,,,,,,,,,,,,,,,,,,,,1771945639,,424908915,0,1170000000,1577842862,,,,,,,,,,2779099536,,,,,
,391645604.2,,,76492870890,96693724268,0,,合并,10005679,CNY,4390385.25,4956453328,232762203,6159375144,97019730.78,5415014596,2020-12-31,0,0,,,0,,2020-3-28,2798378947,17758369791,0,,,0,,4310538564,19169866426,50357400000,2021-3-30,1636770789,-9976870847,-10128228739,40208933234,20200853378,0,,,0,0,,,0,,10998791849,17415530000,,,9337841935,3237975612,62228404642,2019-12-31,年度报告,年度报告,2019-1-1,69409700789,79386571636,9504144480,19632373220,79956698294,39747765060,4010505401,,,,,,,,,,,,,,,,,,,,,,,,,,,21068425517,117000000,70861189.7,0,8643824572,,,,,,,,25253596608,,,12521330765,,,,7660480.13,
685033.27,179405884.5,,,30029283659,37266948754,0,,合并,10005685,CNY,712700.41,198795281.1,,1035846142,9247580.68,2077146945,2019-12-31,0,0,,,0,,2020-4-29,1209587438,6868903446,0,,,0,,392249239.6,112030598.2,20398080000,2020-4-29,,4206302007,300320738.5,2721794769,7237665095,0,,,0,0,,,0,540305329.7,1660000,,,,5025789937,1207694123,15154956884,2019-12-31,年度报告,年度报告,2019-1-1,20398765033,16192463026,591757221.1,291436482.7,16861162364,14139367595,826142714.3,,,,,,,,,,,,,,,,,,,,,,,,,,,5938570185,,,0,,,,,,,,760000000,2085994610,,,,,,685033.27,5264727.4,
35389467.02,249410085.2,,,13785795977,16335989722,0,,合并,10002547,CNY,6202594.27,2926331494,,995584829.3,17129806.38,1154013017,2019-12-31,0,0,,,0,,2020-4-30,892336493.2,3644525155,0,,,0,,832996482,683759158.7,13149620464,2020-4-30,,-1763499552,2832361327,1464202163,2550193745,0,,,0,0,1022377380,,0,,1579784653,,,,941552978.6,254250567.1,12373140000,2019-12-31,年度报告,年度报告,2019-1-1,13185009931,14948509482,3765530571,933169243.9,8385553164,6921351001,189165277.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2564400062,,,0,,1488223248,,,,,,900000000,,,,,,,35389467.02,,
,241337536.7,,,61170650432,74339314719,0,,合并,10004774,CNY,,,,7009832924,219040528.6,4443546918,2020-12-31,0,0,,,0,,2020-3-28,3915393729,15288278902,0,,,0,,2422525187,3982079523,1.09285E+11,2021-3-27,1447533552,4760169419,-1799098396,9988552736,13168664288,0,,,0,0,,,0,30818846812,663954452.6,,,1793476.9,6967783684,6236350085,98298416756,2019-12-31,年度报告,年度报告,2019-1-1,1.10732E+11,1.05972E+11,2424318664,4223417060,71031654950,61043102215,2887996182,,,,,,,,,,,,,,,,,,,,,,,,,,,12468003623,,,0,,,,,,,,3500000000,33539022341,,,,,,,20880000,
,89213680.53,,,12468205556,14849783503,0,,合并,10004880,CNY,612185.58,2159414,,338017781.5,402293.71,965259453.7,2019-12-31,0,0,,,0,,2020-4-2,736016441.5,2565420962,0,,,0,,943588.9,,412670000,2020-4-2,,-530679781.5,-85732043.84,2997587479,2381577947,0,,,0,0,8291631209,,0,,49860000,37488000,233551.79,,1854722185,1937107916,592960000,2019-12-31,年度报告,年度报告,2019-1-1,450158000,980837781.5,3715188.48,89447232.32,14994890128,11997302649,470120951.7,,,,,,,,,,,,,,,,,,,,,,,,,,,2200730041,,,0,600000000,6535234493,,,,,,,,,,,,,,,
,428597523.2,,,1.39996E+11,1.77823E+11,0,,合并,10002269,CNY,,15861873058,-78522543.59,10321723540,-238522490.5,9754885247,2020-12-31,0,0,,,0,,2020-3-20,7988149276,31243412368,0,,,0,,1269043170,382166666.7,1.02389E+11,2021-3-19,15408410974,-158780847.1,16247526144,21976368919,37826591725,0,,,0,0,,,0,,1043343582,74766051,,5896648.67,16597786024,18562420020,1.06666E+11,2019-12-31,年度报告,年度报告,2019-1-1,1.17872E+11,1.18031E+11,17058290333,810764189.9,1.35487E+11,1.1351E+11,6648465359,,,,,,,,,,,,,,,,,,,,,,,,,,,25442481379,,,0,-13809000000,,,,72555112259,,,,60238372004,,,,,,,188063725,
,92574045.19,,,14761488369,16204633972,0,,合并,10002333,CNY,611929.34,1621048599,,432188175.5,9878575.35,1666656397,2019-12-31,0,0,,,0,,2020-4-2,602126127.4,4158176589,0,,,0,,250678225.8,800000000,6912010000,2020-4-2,314478650,2327742624,979760567.6,-1874236165,1443145603,0,,,0,0,1436402086,,0,,,,4141.44,,1143137117,1036301056,4466557850,2019-12-31,年度报告,年度报告,2019-1-1,7226488650,4898746026,1872338754,892578186.6,8945987070,10820223235,594654869.8,,,,,,,,,,,,,,,,,,,,,,,,,,,1896158334,,,0,3950000000,,,,,,,,418949004.9,,,,,,,,
92197500,78318266.87,,,15824031284,21305468663,0,,合并,10004790,CNY,1566804.11,2351356745,,1874034403,18003066.53,1275500805,2019-12-31,0,0,,,0,,2020-4-25,1000547773,4984535003,0,,,0,,706765882,2303024223,8225812500,2020-4-25,22606157576,3647710227,678346412.1,1137377674,5481437379,0,,,0,0,,,0,6430274941,4247945.83,,,,8632103439,2140035345,25398175000,2019-12-31,年度报告,年度报告,2019-1-1,30924167576,27276457349,3059689431,2381343019,23789369960,22651992287,815845358,,,,,,,,,,,,,,,,,,,,,,,,,,,5914270315,,529.26,0,30000000,,,,,,,,10750529297,,,,,,92197500,1551748.82,
