INVENTORYSHARE,SURPLUSRESERVE,DEFERINCOMETAXLIAB,INVREVALUERESERVE,INTERESTPAY,RETAINEDEARNING,HELDMATURITYINV,OTHERASSET,BONDPAY,CDANDBILLREC,CD,CAPITALRESERVE,ANTICIPATELIAB,REPORTDATE,DEFINEFVALUEFASSET,LATESTNOTICEDATE,MASSETDEVALUE,INVJOINT,ENDDATE,LOANADVANCES,GOODWILL,BORROWFROMCBANK,SUMSHEQUITY,ASSETOTHER,DEFINEFVALUEFLIAB,FIDEPOSIT,ESTATEINVEST,OUTWARDREMITTANCE,PARENTEQUITYOTHER,GENERALRISKPREPARE,ACCOUNTREC,INTERESTREC,LIABBALANCE,SUMASSET,DIFFCONVERSIONFC,MASSET,JUNIORBONDPAY,LIABOTHER,INTANGIBLEASSET,INVSUBSIDIARY,OTHERLIAB,MINORITYEQUITY,SHEQUITYOTHER,DIVIDENDPAY,LTEQUITYINV,REMARK,CASHANDDEPOSITCBANK,ACCEPTDEPOSIT,SUMLIABSHEQUITY,ASSETBALANCE,HEDGERESERVE,LIABSHEQUITYBALANCE,DERIVEFASSET,PRECIOUSMETAL,SHEQUITY,FVALUEFLIAB,NETMASSET,LENDFUND,SALARYPAY,DEFERINCOMETAXASSET,STARTDATE,BORROWFUND,BUYSELLBACKFASSET,FIRSTNOTICEDATE,SALEABLEFASSET,LIABSHEQUITYOTHER,TRADEFASSET,TRADEFLIAB,DERIVEFLIAB,SUGGESTASSIGNDIVI,FIXEDASSET,SUMLIAB,SUMPARENTEQUITY,SELLBUYBACKFASSET,PARENTEQUITYBALANCE,CONSTRUCTIONPROGRESS,TAXPAY,FVALUEFASSET,SHEQUITYBALANCE,INVESTREC,DEPOSITINFI,AGENCYASSETS,AGENCYLIAB,SUSTAINBOND,OTHEREQUITY,OTHERCINCOME,OTHEREQUITYOTHER,PREFERSTOCBOND,PREFERREDSTOCK,SUSTAINABLEDEBT,SHORTFINANCING,LTDEFERASSET,HELDSALELIAB,HELDSALEASS,DRAWINGEXP,AMORCOSTFASSET,AMORCOSTFLIAB,FVALUECOMPFASSET,CURRENCY,COMPANYCODE,REPORTSOURCETYPE,REPORTTIMETYPE,COMBINETYPE,COMPANYNAME,LEASE_LIAB,FINANCE_RECE,OTHER_EQUITY_INVEST,TRADE_FINLIAB_NOTFVTPL,USERIGHT_ASSET,OTHER_CREDITOR_INVEST,CREDITOR_INVEST,TRADE_FINASSET_NOTFVTPL,NOTE_PAYABLE,NOTE_RECE,ACCOUNTS_PAYABLE
,45162000000,125000000,,,2.18746E+11,,63726000000,8.17225E+11,,,57411000000,1603000000,2019-12-31,,2020-10-31,,,2020-9-30,3.43043E+12,,1.98843E+11,5.30829E+11,1.16593E+11,,1.0284E+12,,,,81657000000,,,0,6.68184E+12,,,,1.32295E+11,4707000000,,32706000000,11984000000,,,3000000,,3.71155E+11,3.63703E+12,6.68184E+12,0,,,31100000000,15237000000,43782000000,5184000000,,2.48565E+11,10663000000,36050000000,2019-1-1,1.34659E+11,65799000000,2020-3-31,,,,,17793000000,,49900000000,6.15101E+12,5.18845E+11,1.01705E+11,0,,22362000000,5.28338E+11,0,,53180000000,,,,69860000000,2227000000,,,29867000000,39993000000,,,,,,1.14308E+12,,5.12888E+11,CNY,10002264,三季度报告,年度报告,合并,,10420000000,,,,11094000000,,,,,,
,62291000000,956000000,,,3.2161E+11,,39129000000,5.78191E+11,,,67523000000,6109000000,2019-12-31,,2021-3-20,,,2020-12-31,4.2773E+12,9954000000,3.59175E+11,6.17707E+11,6077000000,,5.55581E+11,1925000000,,,90151000000,,,0,7.41724E+12,,,,6488000000,9713000000,,77178000000,6406000000,,,10784000000,,5.67896E+11,4.87498E+12,7.41724E+12,0,,,24219000000,4094000000,25220000000,43434000000,,3.07433E+11,11638000000,65151000000,2019-1-1,1.65921E+11,1.08961E+11,2020-3-21,,,,,23200000000,30264000000,65269000000,6.79953E+12,6.11301E+11,63233000000,0,,19069000000,3.98276E+11,0,,1.06113E+11,,,,34065000000,10441000000,,,34065000000,,,,,,,9.21228E+11,,4.78856E+11,CNY,10002271,年度报告,年度报告,合并,,14379000000,,,,14862000000,,,,,,
,39009000000,10000000,,,2.03411E+11,,87556000000,,,,58977000000,6116000000,2019-12-31,,2021-3-26,,,2020-12-31,3.8926E+12,912000000,2.40298E+11,5.32524E+11,,,9.51122E+11,426000000,,,81535000000,,,0,6.75043E+12,,,,6.50274E+11,2826000000,,34086000000,15213000000,,,3672000000,,4.63158E+11,4.07326E+12,6.75043E+12,0,,,17117000000,6865000000,48935000000,,,2.04547E+11,20924000000,32095000000,2019-1-1,92539000000,9954000000,2020-3-27,,,,,16836000000,,22372000000,6.21791E+12,5.17311E+11,1.11838E+11,0,,8865000000,,0,,1.21297E+11,,,,78083000000,7361000000,43128000000,,34955000000,,,,,,,,,,CNY,10008350,年度报告,年度报告,合并,,10896000000,,3036000000,847000000,11438000000,6.2878E+11,9.24234E+11,3.17546E+11,,,
,373353666.4,15150271.11,,,2102379448,,1094157416,,,,4111493528,,2019-12-31,,2020-10-29,,,2020-9-30,4202641096,,,10977363712,,,,,,180687787,140350583.9,,,0,14666736402,,,,,6679929.77,,3170354628,,,,3537379.37,,827053835.3,,14666736402,0,,,,,3964012846,,,,387239626.1,329714177.3,2019-1-1,,262487000,2020-4-28,,,,,,,68489522.43,3689372690,10977363712,,0,,116628165.5,,0,,,,,,,105085852.1,,,,,,,,,,,,,CNY,10005509,三季度报告,年度报告,合并,,,,1394892288,,,,3268215696,3208868063,,,
,6114739000,,,,34714965000,,2983896000,2.03942E+11,,,13242211000,1844210000,2019-12-31,,2020-10-29,,,2020-9-30,5.49478E+11,,93065680000,87928196000,,,23748875000,15022000,,,14052691000,,,0,1.34344E+12,,,,,433591000,,11193298000,1047655000,,,5400767000,,94704193000,8.63653E+11,1.34344E+12,0,,,7276324000,4914000,8482208000,,,799809000,3774085000,4969406000,2019-1-1,14206311000,27198125000,2020-4-30,,,,,7293608000,,6232305000,1.25551E+12,86880541000,28502066000,0,1667520000,2728742000,,0,,23550788000,,,,9849813000,423914000,,,9849813000,,,,,,,,,,CNY,10009846,三季度报告,年度报告,合并,,,,1336026000,1555390000,,1.1562E+11,3.47537E+11,1.54228E+11,,,
,15662000000,,,,87486000000,,12782000000,4.03584E+11,,,53292000000,2147000000,2019-12-31,,2020-10-31,,,2020-9-30,1.82917E+12,,1.43617E+11,2.69337E+11,,,3.02337E+11,,,,34706000000,,,0,3.02079E+12,,,,,80000000,,16632000000,1749000000,,,,,1.92911E+11,1.67128E+12,3.02079E+12,0,,,926000000,,15387000000,,,23461000000,6647000000,8574000000,2019-1-1,1.04064E+11,24050000000,2020-4-17,,,,,1802000000,,13466000000,2.75145E+12,2.67588E+11,93774000000,0,,5572000000,,0,,15938000000,,,,59971000000,1084000000,,,19978000000,39993000000,,,,,,,,,CNY,10007156,三季度报告,年度报告,合并,,,,4961000000,,,1.294E+11,6.75286E+11,89783000000,,,
,17751000000,,,,71431000000,,8710000000,3.99562E+11,,,43885000000,4967000000,2019-12-31,,2020-10-31,,,2020-9-30,1.407E+12,,91660000000,2.08963E+11,,,3.61573E+11,370000000,,,31721000000,,,0,2.73704E+12,,,,,543000000,,48840000000,1834000000,,,2631000000,,1.70708E+11,1.54513E+12,2.73704E+12,0,,,274000000,1091000000,21143000000,,,82363000000,3655000000,18144000000,2019-1-1,45103000000,31595000000,2020-4-28,,,,,327000000,,17797000000,2.52808E+12,2.07129E+11,23091000000,0,,4169000000,,0,,19206000000,,,,17841000000,3357000000,,,17841000000,,,,,,,,,,CNY,10008249,三季度报告,年度报告,合并,,,,1016000000,,,1.44557E+11,6.80684E+11,1.50353E+11,,,
,7249585000,,,,40694699000,,2500687000,2.12886E+11,,,18785134000,2122934000,2019-12-31,,2020-10-29,,,2020-9-30,5.10039E+11,,30490563000,1.00736E+11,,,35697447000,39280000,,,10920827000,,,0,1.31772E+12,,,,,380572000,,20900607000,427264000,,,,,93555663000,7.79224E+11,1.31772E+12,0,,,20260229000,12515747000,5628330000,,,3595946000,2430358000,4858203000,2019-1-1,35962274000,17259205000,2020-4-25,,,,,20368170000,,6448097000,1.21698E+12,1.00309E+11,62694202000,0,1324356000,3323506000,,0,,15409022000,,,,14810446000,2219826000,,,14810446000,,,,,,,,,,CNY,10034047,三季度报告,年度报告,合并,,,,98077000,10880977000,,1.97149E+11,1.83392E+11,2.48892E+11,,,
,3233637000,,,,1201934000,,396332000,8094709000,,,2288183000,173693000,2019-12-31,,2020-10-29,,,2020-9-30,66246320000,,1661474000,11624839000,,,1186859000,,,,2361413000,,,0,1.25955E+11,,,,,247437000,,516969000,112592000,,,1015664000,,11939296000,95955987000,1.25955E+11,0,,,8327000,,1803065000,,,2683206000,394094000,599510000,2019-1-1,1306359000,4084436000,2020-4-24,,,,,9914000,,890836000,1.1433E+11,11512247000,4810868000,0,589188000,219556000,,0,,3756787000,,,,152020000,471995000,,,,,,,,,,,,,CNY,10116499,三季度报告,年度报告,合并,,,,710500000,,,19625952000,9283912000,3877618000,,,
,3020640000,,,,17506188000,,2266933000,1.11283E+11,,,3942512000,317504000,2019-12-31,,2020-10-31,,,2020-9-30,1.96475E+11,,15005800000,40327183000,22074373000,,26197858000,,,,6051461000,,,0,5.60399E+11,,,,,173702000,,4827417000,1298466000,,,,,45586752000,3.37582E+11,5.60399E+11,0,,,,,3218029000,,,,1121726000,2766653000,2019-1-1,20754499000,6340063000,2020-4-28,,,,,,,4182962000,5.20072E+11,39028717000,2770935000,0,,210879000,,0,,9037684000,,,,4992896000,296991000,,,4992896000,,,,,,,,,,CNY,10035531,三季度报告,年度报告,合并,,,,293844000,,,43750868000,1.92284E+11,35166808000,,,
,4616758000,,,,20109497000,,1749086000,1.31439E+11,,,8874230000,279357000,2019-12-31,,2020-10-31,,,2020-9-30,3.97482E+11,,72834915000,62544597000,,,58198340000,,,,12694800000,,,0,1.02407E+12,,,,,1143150000,,5500604000,,,,1531757000,,85078060000,6.19976E+11,1.02407E+12,0,,,2020008000,,5130200000,,,14991270000,2236901000,4754876000,2019-1-1,27875731000,41219141000,2020-4-30,,,,,2354122000,,1322810000,9.61526E+11,62544597000,37592835000,0,327054000,3187495000,,0,,43445927000,,,,9979209000,1139903000,,,9979209000,,,,,,,,,,CNY,10065741,三季度报告,年度报告,合并,,,,128100000,50122000,,85597329000,2.6858E+11,74699462000,,,
,5224746000,34383000,,,828746000,,196993000,11854171000,,,955888000,125956000,2019-12-31,,2021-3-30,,,2020-12-31,82097471000,,2932428000,11730248000,,,464340000,10050000,,,2054694000,,,0,1.61912E+11,,,,,218114000,,262711000,80803000,,,733107000,,13146796000,1.31358E+11,1.61912E+11,0,,,0,,1848259000,,,390802000,63890000,850857000,2019-1-1,151180000,603134000,2020-3-28,,,,,285000,,906354000,1.50182E+11,11649445000,2713571000,0,26395000,220840000,,0,,2773702000,,,,613479000,123633000,,,,,,,,,,,,,CNY,10068001,年度报告,年度报告,合并,,,,600000,,,15012045000,32580544000,12365160000,,,
,17034028000,,,,35265566000,,2252030000,3.60021E+11,,,16152196000,589761000,2019-12-31,,2020-10-30,,,2020-9-30,1.0109E+12,,1.23517E+11,1.36436E+11,47874891000,,1.36783E+11,,,,28385510000,,,0,2.06506E+12,,,,,635588000,,10572660000,3643536000,,,,,1.32252E+11,1.20556E+12,2.06506E+12,0,,,1827159000,,11544500000,,,32914906000,5461019000,8861428000,2019-1-1,41215852000,6159533000,2020-4-11,,,,,1763479000,,5327040000,1.92862E+12,1.32792E+11,39434273000,0,,3701526000,,0,,33103578000,,,,22765734000,1644851000,,,,,,,,,,,,,CNY,10101081,三季度报告,年度报告,合并,,,,137676000,,,76082306000,4.76973E+11,2.29755E+11,,,
,36273686000,,,,51934012000,,14024086000,1.90712E+11,,,22052934000,7168161000,2019-12-31,,2020-10-24,,,2020-9-30,9.41221E+11,,93181724000,1.77227E+11,,,3.94618E+11,,,,28434363000,,,0,2.23708E+12,,,,,743640000,,6117750000,518019000,,,422778000,,1.40257E+11,1.20355E+12,2.23708E+12,0,,,16443915000,,14206529000,,,1.70099E+11,4384435000,13537590000,2019-1-1,74165011000,2267055000,2020-4-25,,,,,16690672000,,5566000000,2.05986E+12,1.76709E+11,63349665000,0,,5516021000,,0,,14558543000,,,,19957170000,3849918000,,,,,,,,,,,,,CNY,10008384,三季度报告,年度报告,合并,,,,515374000,400427000,,39061464000,5.6031E+11,3.18055E+11,,,
,4116102000,288328000,,,2579477000,,520082000,11432973000,,,3244698000,69179000,2019-12-31,,2021-3-31,,,2020-12-31,1.05216E+11,,2389833000,17899248000,,,1462650000,,,,3638106000,,,0,1.84839E+11,,,,,184880000,,725237000,973783000,,,306788000,,17541591000,1.38079E+11,1.84839E+11,0,,,11021000,,2740856000,,,1651302000,370065000,1160680000,2019-1-1,1499134000,1075703000,2020-4-23,,,,,21596000,,1176544000,1.6694E+11,16925465000,10230261000,0,114724000,372037000,,0,,1200583000,,,,,606226000,,,,,,,,,,,,,CNY,10065740,年度报告,年度报告,合并,,,,938483000,,,18643323000,27841550000,7256085000,,,
,3269927000,,,,15103852000,,1383381000,74327547000,,,6155624000,46473000,2019-12-31,,2020-10-29,,,2020-9-30,2.23511E+11,,30234603000,35630086000,,,10283528000,,,,7287546000,,,0,5.58386E+11,,,,,36096000,,904607000,79189000,,,801095000,,53964290000,3.86719E+11,5.58386E+11,0,,,103166000,,3612251000,,,17880371000,2309173000,2880949000,2019-1-1,1220780000,,2020-4-29,,,,,19308000,,1038249000,5.22756E+11,35550897000,15933834000,0,154358000,756533000,,0,,3911461000,,,,,121697000,,,,,,,,,,,,,CNY,10037583,三季度报告,年度报告,合并,,,,,,,21220488000,1.76005E+11,55495661000,,,
,3539693241,,,,1853943883,,239338664.2,6270650884,,,858443116.8,133780817.5,2019-12-31,,2020-10-27,,,2020-9-30,69079076743,,2806567875,10737418819,,,903055593,,,,1789898501,,,0,1.23045E+11,,,,,124661725.3,,186482018.6,69342757.27,,,1092683980,,11508450526,92891988459,1.23045E+11,0,,,,,1807563674,,,564652559.7,439665973.1,834428738.7,2019-1-1,891494471.6,,2020-4-28,,,,,,,747738366.3,1.12307E+11,10668076062,7643457221,0,6991187.68,108803650.6,,0,,974258555.9,,,,450297207.1,368236439.6,,,,,,,,,,,,,CNY,10063621,三季度报告,年度报告,合并,,,,329198676.6,31316108.48,,17613790584,17613714206,2315697378,,,
,3370609000,124855000,,,3011328000,,107540000,5113435000,,,924572000,258747000,2019-12-31,,2020-10-31,,,2020-9-30,67069695000,,2859503000,11873053000,,,505637000,148960000,,,1526195000,,,0,1.26343E+11,,,,,125498000,,326140000,115596000,,,557769000,,10836300000,95288357000,1.26343E+11,0,,,1909000,,2171984000,,,280205000,386435000,1124911000,2019-1-1,800758000,,2020-3-31,,,,,,,955922000,1.1447E+11,11757457000,8718249000,0,,87923000,,0,,772372000,,,,359518000,393251000,,,,,,,,,,,,,CNY,10120308,三季度报告,年度报告,合并,,,,4350000,,,10834582000,24287349000,9235730000,,,
,577265517.4,,,,3090690631,,950569723.2,6736837849,,,4315907409,,2019-12-31,,2021-3-25,,,2020-12-31,,,,11996786376,66301062387,,,97574704.72,,,1026272850,,,0,68363160782,,,,2839913986,18863869.72,,5387400569,,,,,,3460025.82,,68363160782,0,,,,,2986649968,,,,167931090.9,540451853.5,2019-1-1,37954948444,,2020-4-30,,,,,,,451178217.6,56366374406,11996786376,3036793208,0,,242549258.3,,0,,,,,,,,,,,,,,,,,,,,CNY,10097203,年度报告,年度报告,合并,,,,,,,,,,,,
,2680911000,,,,7160136000,,1011081000,66190861000,,,3817959000,209457000,2019-12-31,,2020-10-27,,,2020-9-30,1.70996E+11,,2341608000,25261699000,,,2748170000,203000,,,4545255000,,,0,3.41667E+11,,,,,85358000,,1303162000,846428000,,,,,26042449000,2.18806E+11,3.41667E+11,0,,,20023000,,5555556000,,,6762843000,1595160000,1655694000,2019-1-1,5010613000,2262669000,2020-4-27,,,,,17040000,,3041306000,3.16406E+11,24415271000,17371888000,0,617878000,812087000,,0,,6568788000,,,,,655454000,,,,,,,,,,,,,CNY,10282280,三季度报告,年度报告,合并,,,,5200000,,,20229074000,52282414000,50086875000,,,
,2504432336,,,,7280541346,,899190809,37294744854,,,10814539319,434002181,2019-12-31,,2020-10-30,,,2020-9-30,1.55326E+11,,2462401813,28953201375,16050238825,,9056180031,6818,,,3710200914,,,0,3.43472E+11,,,,12651329,408441457,,1681432354,1150870751,,,563040078,,22649199124,2.22114E+11,3.43472E+11,0,,,,1285776,3333333334,,,10793449857,765259102,1554631546,2019-1-1,16413096372,9742557843,2020-3-31,,,,,,,2965293027,3.14518E+11,27802330624,23229177674,0,80811705,683188066,,0,,4396968441,,,,,159283375,,,,,,50027212,,,,,,,CNY,10063568,三季度报告,年度报告,合并,,,,54399125,372078703,,14575005422,65395487081,37965192928,,,
,1597922000,80150000,,,2284154000,,183167000,35332981000,,,2977066000,68674000,2019-12-31,,2020-10-31,,,2020-9-30,98160821000,,473528000,13749160000,,,3620054000,,,,2675644000,,,0,2.01319E+11,,,,,129394000,,400095000,,,,814201000,,19928874000,1.33512E+11,2.01319E+11,0,,,,,3660889000,,,4897164000,246722000,1212881000,2019-1-1,1994471000,9113477000,2020-3-25,,,,,,,1448104000,1.8757E+11,13749160000,11566271000,0,11650000,274231000,,0,,3655059000,,,,,553485000,,,,,,,,,,,,,CNY,10070043,三季度报告,年度报告,合并,,,,600000,,,36427546000,23527309000,1808428000,,,
