ASSETDEVALUELOSS,BASICEPS,CINCOMEBALANCE1,CINCOMEBALANCE2,COMBINETYPE,COMPANYCODE,CURRENCY,DILUTEDEPS,ENDDATE,EXCHANGEINCOME,FIRSTNOTICEDATE,FVALUEINCOME,INCOMETAX,INVESTINCOME,INVESTJOINTINCOME,ISLISTINGREPORT,LATESTNOTICEDATE,MINORITYCINCOME,MINORITYINCOME,NETPROFIT,NETPROFITBALANCE1,NETPROFITBALANCE2,NETPROFITOTHER1,NETPROFITOTHER2,NONOPERATEEXP,NONOPERATEREVE,OPERATEEXP,OPERATEEXPBALANCE,OPERATEEXPOTHER,OPERATEMANAGEEXP,OPERATEPROFIT,OPERATEPROFITBALANCE,OPERATEPROFITOTHER,OPERATEREVE,OPERATETAX,OTHERCINCOME,OTHEREXP,OTHERREVE,PARENTCINCOME,PARENTNETPROFIT,REPORTDATE,REPORTSOURCETYPE,REPORTTIMETYPE,REVEBALANCE,REVEOTHER,STARTDATE,SUMCINCOME,SUMPROFIT,SUMPROFITBALANCE,SUMPROFITOTHER,OTHERCINCOMECANTREC,REMEDEFINEDBENEFIT,INVESTEDCANTREC,CANTRECOTHER,CANTRECBALANCE,OTHERCINCOMEREC,INVESTEDREC,FVALUEOSALABLE,MATURITYRECSALABLE,EFFECTIVECAFLHEDGING,DIFFCONVERSIONFC,RECOTHER,RECBALANCE,OTHERCINCOMEOTHER,OTHERCINCOMEBALANCE,NONLASSETREVE,NONLASSETNETLOSS,PARENTOTHERCINCOME,PAROTHCINOTHER,PAROTHCINBALA,MINORITYOTHERCINCOME,FINDATATYPECODE,ADISPOSALINCOME,CONTINUOUSONPROFIT,TERMINATIONONPROFIT,MIOTHERINCOME,CREDDEVALUELOSS,OTHERRIGHT_FAIRVALUE_CHANGE,CREDITRISK_FAIRVALUE_CHANGE,CREDITOR_FAIRVALUE_CHANGE,FINANCE_OCI_AMT,CREDITOR_IMPAIRMENT_RESERVE,ACF_END_INCOME,AMORTISEDUTYRESERVE,AMORTISEINDEMNITYEXP,AMORTISERIEXP,BANKINTEXP,BANKINTNREVE,BANKINTREVE,COMMEXP,DUTYRESERVE,FINANCEEXP,INDEMNITYEXP,INSURREVE,INTEXP,NINSURCOMMEXP,NINSURCOMMNREVE,NINSURCOMMREVE,POLICYDIVIEXP,PREMIUMEARNED,PREMIUMEARNEDBALANCE,RIEXP,RIPREMIUM,RIREVE,SURRENDERPREMIUM,UNDUERESERVE,AGENTTRADESECURITY,CLIENTASSETMANAGE,COMMNREVE,COMMNREVEOTHER,FINACONSULT,FUNDMANAGE,FUNDSALE,INTNREVE,SECURITYBROKER,SECURITYUW,SPONSOR,BROKER_FEE_NI,INVESTBANK_FEE_NI,ASSETMANAGE_FEE_NI
,0.12,,,合并,10004829,CNY,0.12,2020-12-31,4633542.67,2020-3-28,135469502,524765444.1,2162013143,75487451.47,1,2021-3-26,140717030.4,126143414.8,694088301.1,,,,,1629791492,2486338.62,7211203480,0,263919000,5516446077,2846158898,0,,10057362379,59468507.17,258694172.2,98801111.3,191521122.1,812065443,567944886.3,2019-12-31,年度报告,年度报告,0,,2019-1-1,952782473.3,1218853745,0,,147276458.6,,,,,96844098.03,8690264.53,,,,20950426.93,,,,,,,244120556.7,,,14573615.58,3,14955.41,694088301.1,,280056532.7,1272568785,147276458.6,,-25567608.49,,92771015.06,22242152.36,,,,,,,,,,,,,,,,,,,,,,,,2512361240,1236941715,5710719113,,,,,1572934467,,1377543026,,,,
,0.18,,,合并,10004835,CNY,0.18,2019-12-31,-9866941,2020-4-28,256937470,145855829,1063569409,,1,2020-4-28,9239835,9738768,519922476,,,,,4937394,3110431,4434575469,0,-17941901,1567386381,667605268,0,,5102180737,22604650,-108681443,2685981550,2725971207,402001198,510183708,2019-12-31,年度报告,年度报告,0,,2019-1-1,411241033,665778305,0,,-117559431,,,,,9376921,,,,,17112181,,,,,,,-108182510,,,-498933,3,3876061,519922476,,30348871,176544789,-117559431,,-37471770,,29736510,,,,,,,,,,,,,,,,,,,,,,,,,347651347,91085810,1173916736,99799933,,62918817,,-142572076,,572460829,,,,
1535085.87,0.99,,,合并,10005679,CNY,0.99,2020-12-31,5353627.3,2020-3-28,1097262492,2165961135,6036367590,446525207.2,1,2021-3-30,574903928.1,571339882.8,8110261526,,,,,437347039,13673024.82,12109985820,0,,9392972817,10699896675,0,,22809882495,135373201.7,864495198.8,1900428733,1914983565,8399852797,7538921643,2019-12-31,年度报告,年度报告,0,,2019-1-1,8974756725,10276222661,0,,443768087.5,,,,,417163066,130938730,,,,105498829.8,158992149.9,,,,,,860931153.5,,,3564045.26,3,1548589.77,8110261526,,825510942.9,679675982.5,443768087.5,,21733356.31,,,,,,,,,,,,,,,,,,,,,,,,,,,4197625974,3910623138,9760768308,,,,,3168087379,,1437904121,,,,
,0.3,,,合并,10005685,CNY,0.3,2019-12-31,-1262825.29,2020-4-29,731982777.8,756949192.5,2020101870,77447586.77,1,2020-4-29,-80094361.59,-83092047.21,1582707924,,,,,25242813.56,45674314.18,4713666428,0,6544135.43,4044075677,2319225616,0,,7032892044,43796554.45,116839807.8,87215822.01,96790324.8,1779642094,1665799972,2019-12-31,年度报告,年度报告,0,,2019-1-1,1699547732,2339657117,0,,102616511.6,,17685050.57,,,11225610.59,,,,,7465605.02,,,,,,,113842122.1,,,2997685.62,3,181903.69,1582707924,,56323135.87,532034238.9,84931460.98,,-31152476.32,,34912481.89,,,,,,,,,,,,,,,,,,,,,,,,,1941156536,410327492.1,3337604132,,,,,791170725.7,,861451381.2,,,,
,0.18,,,合并,10002547,CNY,0.18,2019-12-31,8976531.34,2020-4-30,905791168.7,134683982.3,1295444737,269680797.8,1,2020-4-30,-77910528.95,-77498781.49,964502673.2,,,,,7294365.37,361700.65,2382718117,0,15422171.52,1956004591,1106119320,0,,3488837437,21941346.26,142704447.2,88696895.09,99822732.16,1185117649,1042001455,2019-12-31,年度报告,年度报告,0,,2019-1-1,1107207120,1099186656,0,,110512020.3,-4195840.82,,,,32604174.45,249144.96,,,,12210149.22,,,,,,,143116194.7,,,-411747.46,3,690871,964502673.2,,40487656.24,300653113.4,114707861.1,,20867743.86,,-722863.59,,,,,,,,,,,,,,,,,,,,,,,,,582755244,54830770.51,950089370.8,,,,,187534369.9,,295131513.7,,,,
3555702.15,0.82,,,合并,10004774,CNY,0.82,2020-12-31,30189075.81,2020-3-28,1691987660,1460353507,5349691586,882008337.2,1,2021-3-27,30901914.92,30901914.92,7313282744,,,,,36843214.55,16330893.41,9914221373,0,,7537473657,8794148572,0,,18708369945,94364575.41,350268723.3,2186799990,2226604724,7632649553,7282380829,2019-12-31,年度报告,年度报告,0,,2019-1-1,7663551468,8773636251,0,,251401927.1,,,,,98866796.18,,,,,106710129.3,12007804.54,,,,,,350268723.3,,,,3,,7313282744,,79013903.88,92027448.66,251401927.1,,-22878847.19,,3027709.49,,,,,,,,,,,,,,,,,,,,,,,,,3992926473,1042269893,7435694205,,,,,1895188789,,1812952307,,,,
,0.1742,,,合并,10004880,CNY,0.1742,2019-12-31,402293.75,2020-4-2,160039452.6,130952682.2,1482612031,-16560501.75,1,2020-4-2,6105289.39,6105289.39,616269192.2,,,,,4352901.13,838783.89,2929808596,0,,1734723729,750735991.7,0,,3680544587,21357651.55,-14618498.81,520287864.6,522635754.2,595545404,610163902.8,2019-12-31,年度报告,年度报告,0,,2019-1-1,601650693.4,747221874.4,0,,-2790040.96,,,,,-11828457.85,107541.48,,,,,,,,,,,-14618498.81,,,,3,229961.52,616269192.2,,30861823.39,653439350.6,-2790040.96,,-44309220.95,,32373221.62,-4711455.02,,,,,,,,,,,,,,,,,,,,,,,,658688926.6,22349320.91,1258670571,,,,,225092700.1,,317523519.6,,,,
698815635.8,1.01,,,合并,10002269,CNY,1.01,2020-12-31,236838830.6,2020-3-20,-2055398363,4346199631,18747889884,801121105.2,1,2021-3-19,521969973.3,419826728,12648436452,,,,,52612670.1,36456301.62,26128905191,0,,17562366097,17010792451,0,,43139697642,292697028.4,874729231.5,5683446862,5994593704,13001195710,12228609724,2019-12-31,年度报告,年度报告,0,,2019-1-1,13523165683,16994636082,0,,561480002,,9839260.7,1041045.1,,211105984.2,5998494.84,,,,132603948.2,-26008072.81,,,,,,772585986.2,,,102143245.4,3,-782562.64,12648436452,,149787648,1891579568,550599696.2,,10706363.8,,87805250.24,,,,,,,,,,,,,,,,,,,,,,,,,7424968289,5706832375,18022178986,,,,,2044589516,,4465279339,,,,
,0.429,,,合并,10002333,CNY,0.429,2019-12-31,-1286862.65,2020-4-2,245401722.6,407637958.4,994000895.2,-2291326.02,1,2020-4-2,-476822.42,-476822.47,1298062879,,,,,4276203.05,57522113.6,2697059807,0,35518931.09,2661882213,1652454927,0,,4349514734,21668700.57,123213097.1,,37372.29,1421752798,1298539701,2019-12-31,年度报告,年度报告,0,,2019-1-1,1421275976,1705700837,0,,87881058.28,,,,,35332038.77,-144969.8,,,,6302715.14,,,,,,,123213097.1,,,0.05,3,-73961.95,1298062879,,11008213.26,-22010037.47,87881058.28,,25747201.46,,3427091.97,,,,,,,,,,,,,,,,,,,,,,,,,1140360749,96265359.51,2329629724,,,,,770797631.8,,901273881.4,,,,
,0.35,,,合并,10004790,CNY,0.35,2019-12-31,-6329478.39,2020-4-25,-437166281.5,354325271.1,1907256840,73254131.49,1,2020-4-25,-56554220.14,-57929328.68,979245593.1,,,,,6431929.75,3815283.75,3794185952,0,89343191.51,2175155236,1336187510,0,,5130373463,37401886.49,169670219.6,1322981602,1325510849,1205470033,1037174922,2019-12-31,年度报告,年度报告,0,,2019-1-1,1148915813,1333570864,0,,150470656.2,,1236628.23,,,17824454.85,6395083.22,,,,18930608.81,,,,,,,168295111.1,,,1375108.54,3,77924.75,979245593.1,,11549618.99,169304036.7,149234028,,-19152260.82,,11651023.64,,,,,,,,,,,,,,,,,,,,,,,,,1050491646,161216479.3,2001888885,,,,,327585104.7,,625083630.7,,,,
